P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
0.18307,0.8516,-0.608,-1.7064,0.29281,-0.57099,2.2417,0.98128,1.3633,0.76425,-0.04641,1.3915,-0.71477,-1.0223,0.74576,0.6202,0.38487,-0.37217,1.2041,-2.1122,0.54594,0.17335,-2.0094,0.58676,-1.1913,1.8586,1.4166,0.052133,0.74907,1.8009,1.3033,-0.55265,0.31815,0.26207,-0.11649,0.21564,4.1285,0.85944,-0.68285,0.3475,0.47843,1.3117,-0.94642,-0.57754,-2.6999,1.8558,-1.4647,-0.63645,-2.1726,2.4327,-0.51323,1.5713,1.5658,-0.95204,-1.9987,-0.38185,1.0636,-0.46407,0.19969,0.68141,1.5236,-0.52905,0.14184,-0.62484,1.2757,0.68319,-1.7369,-0.39959,-2.4537,0.2783,-0.26638,0.69359
-0.0584,0.58706,-1.2124,-1.2851,0.70784,-1.0575,2.9164,0.1748,1.5421,0.36618,-1.0578,2.0363,-1.0916,-0.6338,0.31226,0.44599,0.021062,-0.9537,0.69844,-1.4613,0.99843,-0.04644,-1.4294,1.2532,-1.4196,1.7204,1.5174,-0.71674,1.804,2.1239,1.4981,-1.1463,0.075818,-0.26171,-0.8568,0.21729,4.6052,1.9925,-0.41394,0.83541,0.64902,1.1688,-0.26038,-0.5592,-3.52,3.0007,-2.0488,-0.47536,-2.249,2.6725,-0.97671,2.1636,2.2657,-2.4894,-1.2256,-1.0107,0.5862,-0.13572,0.065411,0.94442,1.5449,-0.23856,0.38882,-0.85469,2.1539,1.0611,-0.98804,-0.48457,-1.969,1.4005,-0.89186,0.53624
0.25352,0.41961,-1.2875,-1.887,1.097,-1.0278,2.9819,1.2653,1.7789,0.26116,-0.9507,1.8628,-1.0102,-1.3165,1.1073,0.19453,0.54031,-0.66599,1.398,-2.5811,1.283,-0.58857,-1.9883,0.30604,-0.72544,2.374,2.0408,-0.74122,1.1889,2.3099,1.7657,-1.5291,0.66637,0.27055,-1.0568,0.24621,5.11,1.8552,0.17959,1.2269,1.1713,1.2372,-0.026391,-0.19671,-2.797,2.3744,-1.8705,-0.8682,-2.5506,2.5694,-0.76083,2.5933,2.6938,-1.9367,-1.4426,-1.3507,0.66308,-0.098993,0.09616,0.33173,1.9456,0.27301,0.14669,-1.0937,2.1117,1.4785,-1.2201,-1.4239,-1.8611,0.72191,-0.65578,0.66666
0.59867,0.93755,-1.3255,-1.9945,1.2287,-0.75641,3.5579,1.6314,2.3217,-0.10194,-1.1726,1.5336,-1.4467,-1.1951,0.64192,0.2793,-0.25239,-0.80518,0.92417,-2.2486,2.0271,-0.56848,-1.98,1.0089,-2.7317,1.8492,2.0712,-0.34862,1.95,3.4526,2.9735,-1.5889,0.61092,-0.4696,-0.97361,-0.49794,6.275,1.8027,0.097275,2.0215,1.1026,1.3873,0.021273,-0.9461,-4.0283,3.0245,-3.166,-1.0097,-2.8907,2.7075,-1.6903,2.5682,2.5186,-2.1265,-1.6936,-1.1677,1.2006,-0.068211,-0.19044,1.1833,2.7357,0.53445,0.16092,-0.66117,2.2041,1.5894,-1.2621,-1.951,-1.7686,1.4363,-0.90532,1.0559
1.096,0.80692,-2.1201,-1.667,2.1573,-1.6181,4.1819,1.2392,2.1981,0.18557,-1.5819,1.8986,-1.2973,-0.91817,0.54488,0.80157,0.41423,-0.95143,1.1015,-1.6431,2.041,-0.76667,-2.2323,1.3481,-2.5502,2.8416,1.9898,-0.14886,2.1844,3.2929,2.8809,-1.2061,1.0464,-0.34211,-0.78339,-0.48102,6.7177,2.0364,0.16365,2.488,1.3904,1.5476,0.2601,-0.94853,-4.2896,3.0763,-2.1558,-0.77983,-3.2062,3.5615,-1.2804,3.027,2.7302,-2.9792,-1.9998,-0.97046,1.2618,-0.25608,0.15321,0.8838,3.2696,0.83991,0.063459,-1.2163,3.1209,2.5529,-1.0338,-1.6753,-2.5202,1.3277,-1.3821,1.2537
2.0058,0.18697,-1.8255,-2.4665,1.9867,-1.4092,4.7066,2.0703,2.0291,0.83811,-1.351,2.0122,-1.0116,-0.2705,0.82327,1.0534,-0.31054,-1.2662,0.50656,-2.5676,1.9124,-1.0997,-2.5014,1.3493,-3.2302,3.0862,2.3524,0.23153,2.3281,3.0147,2.9285,-0.89548,0.93201,-0.16187,-1.5171,-0.52531,7.4703,2.007,0.99686,2.8145,1.4485,1.9834,0.27964,0.032948,-4.5476,3.2466,-2.8747,-0.46976,-3.359,3.0182,-1.6643,3.8646,2.5744,-3.3077,-3.0097,-0.89851,1.5237,-0.19479,0.36255,0.7278,3.5155,1.3872,0.5404,-1.7212,3.7505,2.993,-0.84265,-2.1815,-2.6433,2.0668,-1.5679,0.87942
2.2388,-1.0446,-2.1773,-2.915,2.5764,-1.0237,5.099,1.4565,2.6747,0.11316,-1.2032,1.3462,-1.5581,-1.2457,0.21471,0.7516,0.50716,-1.201,1.1431,-3.2275,1.6061,-0.68608,-2.7961,1.6079,-3.358,2.9863,3.3931,0.41749,2.3308,3.537,3.1082,-0.63393,1.2335,-0.26371,-1.8468,-1.3822,8.396,1.9744,0.80198,2.8049,2.3013,2.0209,0.1581,-1.0164,-5.2973,3.5285,-2.8207,-1.1487,-4.1835,3.3595,-1.3496,3.7121,3.1543,-4.0283,-2.3888,-0.99057,2.1253,0.38149,-0.031179,0.11443,4.4818,1.4685,0.301,-0.75475,4.4206,2.3993,-0.63909,-2.5424,-3.2449,2.1965,-1.1601,0.2362
2.4142,-0.23493,-2.3225,-3.1093,2.427,-1.5768,5.7121,1.2004,3.0345,0.38717,-1.8145,2.3216,-1.1905,-0.50185,0.071332,0.22588,0.39478,-1.3586,0.69519,-2.8045,0.8286,-2.1785,-1.5822,1.2352,-3.9543,3.4128,3.7625,0.30552,2.8183,2.8823,4.0512,-0.8945,1.4629,-0.52602,-2.1009,-0.79976,8.2428,1.9846,1.6338,3.1203,1.6008,2.1535,0.69974,-1.5176,-4.9284,3.9891,-2.8493,-1.2939,-3.5915,4.0612,-1.7247,4.4903,3.3077,-3.9253,-2.6319,-0.82112,1.5351,-0.0047263,0.79993,-0.2368,5.1847,1.0793,-0.043565,-0.84588,3.7767,2.4955,-1.0751,-2.8086,-3.979,2.671,-1.8736,0.71129
2.5816,-0.40138,-2.3326,-3.425,2.7919,-1.7461,6.0527,1.2622,3.515,1.0467,-2.2392,2.2364,-0.55465,-1.297,0.12056,0.77161,0.1565,-1.556,0.82267,-1.7209,1.8088,-1.5489,-2.6135,1.6199,-4.4608,3.3895,3.51,0.10677,3.2884,3.8295,4.5906,-0.88472,1.553,-0.37965,-1.7644,-0.90168,9.2521,1.8761,2.0127,3.7871,2.9187,2.6003,0.94928,-1.7637,-4.8899,4.3468,-3.2538,-1.1362,-4.4485,4.2037,-1.5268,4.817,2.9761,-4.4192,-2.921,-0.43912,2.092,0.75603,0.77246,0.79269,5.0062,1.0415,0.23497,-0.49458,4.3401,2.5279,-0.87781,-3.0724,-3.1466,2.8615,-2.3639,0.14879
3.1349,-1.167,-3.3107,-3.4368,3.0306,-1.2549,7.5765,1.4697,4.1327,1.0764,-2.2503,2.5747,-1.387,-0.033016,0.017154,1.4995,1.0384,-1.453,0.9913,-3.2736,1.4618,-1.4865,-2.1714,1.3518,-4.989,4.0632,3.6293,0.55828,3.2074,4.0953,5.2849,-0.32165,2.1267,-0.52298,-3.1775,-1.9743,10.116,1.5093,2.0439,4.7934,2.0957,2.2126,0.90614,-2.0004,-5.1132,4.16,-3.3801,-1.2353,-3.8995,5.0083,-2.3575,4.9297,3.3074,-5.0318,-2.7582,-0.85647,1.8531,0.65357,1.0044,-0.082549,5.4324,1.7153,0.021392,-0.79981,4.5441,2.3929,-0.9187,-3.6459,-4.0869,2.6896,-2.3013,0.77726
