P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.023388,0.039732,-0.029148,0.0042245,0.075316,0.0043868,0.0074409,0.039428,-0.032538,0.076685,0.036664,0.1443,0.00050471,-0.1128,0.020492,0.0214,0.065106,-0.018004,-0.082818,0.03681,-0.0054619,0.084484,0.077083,0.070694,0.0044582,-0.0013492,-0.014587,-0.032728,0.0077163,-0.084823,-0.03567,0.056167,0.13914,0.15428,-0.0057779,-0.055144,0.052079,-0.049063,0.019304,0.0061072,0.15188,0.03266,-0.017922,0.10339,0.12371,-0.036032,0.095515,0.027434,-0.021232,0.039533,0.097929,0.022296,-0.011355,0.017324,0.04712,0.031383,0.053813,-0.038739,0.019755,-0.10095,-0.065858,0.049582,0.0055925,-0.127,-0.059848,0.10801,0.048372,0.0060322,0.024182,-0.084735,0.048648,-0.016435
-0.0875,0.045688,-0.14263,0.10216,0.14317,-0.045236,-0.025438,-0.091308,-0.038583,0.15396,0.041665,0.20815,0.0188,-0.26816,0.078905,0.079442,0.1125,0.0048394,0.024206,-0.0018723,-0.12415,0.26808,0.0071568,0.1333,-0.064901,-0.11869,-0.0014499,0.070794,-0.038677,-0.12209,-0.018524,0.19124,0.26076,0.21358,-0.033302,-0.18238,0.035013,-0.015365,0.034939,-0.041458,0.39034,0.0489,-0.10783,0.18097,0.16796,-0.10194,0.27806,0.097379,0.02496,0.10324,0.19942,0.10486,0.059771,0.0079108,0.10896,0.010809,0.061613,-0.077705,-0.022598,-0.19353,-0.095743,0.068588,0.035361,-0.21842,-0.15622,0.19279,0.082568,0.089306,0.047784,-0.17303,-0.081132,0.13587
-0.17041,0.0091932,-0.38046,0.12755,0.23503,-0.17663,-0.13906,-0.2612,0.009457,0.26983,0.060299,0.29036,0.041473,-0.4848,0.17079,0.18255,0.20202,0.095303,0.14201,-0.071185,-0.20254,0.56361,-0.016471,0.22197,-0.13604,-0.31858,-0.11879,0.14887,0.021729,-0.15328,0.018986,0.25272,0.292,0.30606,-0.065033,-0.22435,0.063597,-0.00017375,-0.070603,-0.20035,0.60263,0.1035,-0.19357,0.23211,0.20115,-0.18728,0.55031,0.11552,0.075442,0.12544,0.27156,0.20108,0.18071,0.030046,0.17193,0.0090586,0.16205,-0.1544,-0.014933,-0.19257,-0.085063,0.027588,0.029761,-0.35894,-0.32477,0.30458,0.11073,0.14405,0.10075,-0.30405,-0.11408,0.17349
-0.068503,-0.0030796,-0.5998,0.036104,0.33362,-0.33243,-0.1482,-0.48184,0.056947,0.41004,0.029722,0.39463,0.064075,-0.64569,0.16946,0.29579,0.36536,0.13864,0.16198,-0.11469,-0.39211,0.8978,-0.044604,0.22461,-0.26548,-0.4688,-0.34306,0.28343,0.088051,-0.081337,0.081548,0.33447,0.2932,0.31219,0.018196,-0.3884,-0.015603,0.012037,-0.10273,-0.38834,0.80678,0.097232,-0.27339,0.38966,0.066416,-0.21687,0.77693,0.11376,0.051953,0.13211,0.34988,0.24743,0.13258,0.14883,0.15297,-0.0343,0.18244,-0.23173,-0.035749,-0.31843,-0.0039845,0.0095196,0.11881,-0.5327,-0.46017,0.5334,0.075951,0.14503,0.064579,-0.41077,-0.3052,0.24573
0.10828,-0.053291,-0.76108,-0.020622,0.44649,-0.36903,-0.22914,-0.66065,0.083639,0.39946,0.032676,0.4126,0.10607,-0.90461,0.12954,0.32201,0.46851,0.18308,0.27697,-0.14726,-0.65623,1.2288,-0.11299,0.18926,-0.4459,-0.61642,-0.59744,0.52471,0.16387,-0.046661,0.095174,0.46882,0.26549,0.36122,0.066661,-0.52808,-0.12292,0.070667,-0.2037,-0.58389,1.0688,0.067186,-0.30757,0.58536,0.027655,-0.30624,0.92813,-0.093671,0.094741,0.18515,0.3093,0.34394,0.074668,0.216,0.13061,0.03602,0.25796,-0.38444,-0.030798,-0.48605,0.11121,-0.11975,0.14089,-0.56499,-0.53643,0.79476,0.1604,0.27622,0.086332,-0.42277,-0.46119,0.19782
0.14917,-0.1267,-0.90185,-0.24219,0.53875,-0.4512,-0.34483,-0.89491,0.10658,0.35831,0.11948,0.43748,0.072464,-1.0251,0.096544,0.30109,0.65865,0.34983,0.35641,-0.11179,-0.89595,1.6294,-0.15305,0.12733,-0.58788,-0.71354,-0.87956,0.77092,0.33222,0.0068711,0.095062,0.68702,0.13561,0.34448,0.16194,-0.67649,-0.34484,0.17505,-0.27985,-0.73967,1.347,0.024754,-0.36,0.70372,0.029759,-0.42116,0.97132,-0.27347,0.18018,0.28408,0.1949,0.45634,-0.079142,0.31421,0.2277,0.12987,0.42657,-0.6753,-0.064812,-0.66935,0.14349,-0.31025,0.15973,-0.51867,-0.69568,1.0534,0.11291,0.43113,0.075657,-0.58516,-0.68809,0.13157
0.095306,-0.1446,-1.0302,-0.44796,0.79933,-0.44402,-0.43783,-0.97216,0.075315,0.30561,0.26543,0.36884,0.11164,-1.2116,0.17235,0.19775,0.79697,0.3679,0.47261,-0.11832,-1.1968,2.0952,-0.30088,0.096098,-0.6664,-0.83354,-1.2412,0.99791,0.6326,0.06774,0.060421,0.87466,-0.13761,0.49393,0.24684,-0.78188,-0.63349,0.28357,-0.30801,-1.0978,1.6802,-0.059837,-0.43071,0.81929,-0.038714,-0.54389,1.0493,-0.50939,0.30989,0.31297,0.11902,0.61547,-0.28886,0.47465,0.47281,0.29257,0.64071,-0.90669,-0.0034782,-0.93298,0.2145,-0.48329,0.023307,-0.46073,-0.84143,1.364,0.074967,0.67364,-0.040001,-0.72382,-0.91067,0.085637
-0.019918,-0.19794,-1.1379,-0.60336,1.0901,-0.43237,-0.56744,-0.93609,0.10818,0.14491,0.41754,0.32069,0.11992,-1.3967,0.25455,0.20625,0.97103,0.41093,0.60335,-0.22126,-1.6506,2.5204,-0.45301,0.066777,-0.80244,-0.89022,-1.544,1.1699,0.88528,0.15416,0.0069426,1.0898,-0.42043,0.62228,0.33117,-0.8344,-0.91456,0.30398,-0.3165,-1.315,1.9849,-0.15091,-0.7076,0.86664,-0.11793,-0.66879,1.2029,-0.72647,0.48931,0.39094,-0.019266,0.75631,-0.46892,0.62502,0.63565,0.36652,0.73972,-1.168,0.018124,-1.1717,0.28487,-0.68371,-0.18436,-0.41805,-1.0712,1.7663,0.040647,0.90918,-0.2073,-0.85622,-1.1225,0.03827
-0.14696,-0.27716,-1.2128,-0.70356,1.4139,-0.49576,-0.64031,-0.83669,0.034055,0.032555,0.47466,0.31046,0.12627,-1.5909,0.34359,0.22912,1.1806,0.50545,0.85898,-0.31957,-1.9797,3.0052,-0.63728,0.0039016,-0.86293,-0.91961,-1.7173,1.3024,1.1445,0.25093,0.045883,1.2612,-0.73944,0.64128,0.50551,-0.90834,-1.2254,0.40322,-0.29349,-1.4947,2.1724,-0.08682,-0.9018,1.0469,-0.15826,-0.85508,1.2742,-1.0429,0.75195,0.5199,-0.0419,0.87682,-0.62885,0.76197,0.7173,0.45299,0.84942,-1.4464,0.12303,-1.3974,0.29283,-0.88983,-0.36825,-0.35001,-1.3558,2.2768,0.14759,1.1124,-0.40768,-0.92521,-1.2767,0.058834
