P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
0.11748,-0.17311,-0.037746,0.17434,-0.12297,-0.018785,0.0021375,-0.050557,0.093135,0.20956,-0.14097,0.017651,0.038389,0.04736,0.1395,-0.13881,0.077689,-0.02203,0.0050742,0.095449,0.19517,0.26421,-0.092915,-0.057371,-0.073189,0.17573,0.10382,0.23217,-0.028244,-0.1235,-0.17724,0.062482,-0.10122,0.0090913,0.13617,0.024321,0.050943,0.095897,0.2417,0.16672,-0.027839,-0.12519,0.10114,0.24979,-0.14427,-0.10564,-0.052043,-0.016857,-0.1127,0.11208,0.046163,-0.022153,-0.095059,0.03255,0.09797,0.12657,-0.12837,0.014295,-0.047293,0.13498,0.051566,0.017981,0.086201,0.071626,-0.1115,0.093089,0.02411,-0.065176,0.030483,0.019988,-0.051817,-0.077622
0.090788,-0.093315,0.081488,0.40327,-0.095102,0.082844,0.084103,0.10459,0.066984,-0.090366,0.028389,-0.10633,-0.093854,-0.07875,0.061914,0.14449,-0.062631,-0.095298,0.15547,0.09594,-0.26705,-0.12586,0.079043,-0.034204,-0.013029,-0.10103,-0.14053,0.076423,0.18693,0.16104,-0.014731,-0.072105,-0.21326,-9.57E-05,-0.093388,0.046715,0.053371,0.14061,-0.12454,-0.055778,-0.1907,-0.045234,0.22067,0.047479,0.12224,-0.13808,0.030769,0.14593,-0.041744,-0.082349,0.23822,0.016905,0.065558,-0.01136,0.016375,0.071459,0.11327,-0.073581,-0.00097541,-0.056253,-0.062535,-0.18739,0.055484,0.18201,0.032205,0.00075891,0.23359,0.038915,0.08554,-0.17282,0.088993,0.012823
0.097641,0.10338,0.017758,0.32379,-0.42816,0.12322,0.26337,-0.042898,0.1887,-0.0046007,0.10799,-0.074323,-0.18093,-0.37335,0.18199,0.32537,-0.044547,0.09011,0.31309,-0.15675,0.0030536,-0.19489,0.035329,-0.44328,-0.14017,0.25008,-0.28836,0.20297,0.28362,-0.19182,0.08716,0.12083,-0.094964,-0.14619,-0.10372,0.22013,-0.094409,0.10053,0.0027038,0.017619,-0.21531,0.035808,0.33464,0.0265,0.10256,-0.082287,-0.0056665,0.16325,0.13181,-0.35251,0.21449,0.20191,0.11132,0.014258,0.0354,-0.12371,0.11302,0.062748,-0.16181,-0.099011,0.011036,-0.31087,0.079102,0.21644,-0.12856,-0.42501,0.061258,-0.036665,-0.21195,-0.1809,0.45475,-0.19736
0.093857,-0.044915,0.0021823,0.38672,-0.49889,-0.02536,0.26276,-0.020736,0.094975,-0.36202,-0.29421,-0.078448,-0.56226,-0.21099,0.22929,0.50635,0.17843,-0.14125,0.23955,-0.53395,0.10433,-0.25889,-0.043464,-0.33356,-0.087826,0.32055,-0.28565,0.18456,0.42954,0.21476,0.17287,-0.0086705,-0.049773,-0.051351,-0.55805,0.12976,0.15721,-0.071376,0.17598,-0.06251,-0.31592,0.084138,0.18824,0.27544,-0.17645,-0.14716,-0.19379,0.086437,0.053939,-0.44412,0.64362,0.4724,0.12011,-0.32932,0.09453,-0.26448,0.2154,0.10952,-0.12991,-0.06047,-0.05833,-0.44914,0.27902,-0.082259,-0.27733,-0.35447,0.24608,0.054797,-0.032987,0.051909,0.55561,-0.319
-0.14748,-0.0032365,0.0083497,0.55031,-0.84853,-0.085719,0.37309,-0.085596,0.19148,-0.3055,-0.32713,0.047992,-0.43788,-0.34716,0.27496,0.5217,0.11537,-0.2832,0.15287,-0.59953,-0.094661,-0.64623,-0.25426,-0.43034,-0.28134,0.37576,-0.56435,0.58986,0.54576,0.16486,-0.051727,0.15388,0.037751,-0.21234,-0.66259,0.28583,0.34855,-0.039571,0.16857,-0.31788,-0.72135,0.23119,0.34086,0.38425,-0.14991,-0.27895,0.29293,-0.23281,0.39423,-0.80376,0.95552,0.6575,-0.018997,-0.30717,-0.096486,-0.63435,0.3722,0.38335,-0.48351,-0.14487,-0.2102,-0.52408,-0.034061,0.091084,-0.43962,-0.4729,0.52721,0.098038,-0.10806,-0.26626,0.55495,-0.52053
-0.20331,-0.14749,-0.23264,0.86292,-1.1942,0.051245,0.66826,-0.22596,0.11437,-0.45905,-0.30289,-0.0076414,-0.85524,-0.51983,0.21812,0.57585,0.23693,-0.27063,0.27474,-0.62345,-0.12653,-0.55494,-0.47476,-0.36015,0.054538,0.63888,-0.72809,0.73762,0.86262,-0.1464,-0.097859,0.14864,-0.10193,-0.32822,-0.78635,0.40799,-0.0013154,-0.13886,0.34403,-0.64397,-1.1002,0.20406,0.60076,0.52526,-0.30513,-0.63851,0.13775,-0.3774,0.23178,-1.1843,1.0716,0.79451,-0.12799,-0.46387,0.40117,-0.44632,0.72748,0.65825,-0.58574,-0.17266,0.073911,-0.47233,0.19153,-0.31199,-0.77216,-0.16565,0.33298,0.12876,-0.29706,-0.19827,0.64912,-0.58825
-0.41028,0.15457,0.0028384,1.0517,-1.8204,0.31662,0.65088,-0.30227,0.042912,-0.44312,-0.58405,-0.02033,-0.83992,-0.44266,0.07032,0.49908,0.19743,-0.20416,0.17625,-0.75918,0.1325,-0.80117,-0.8549,-0.50074,-0.10028,0.53062,-1.028,1.0455,1.0268,-0.025193,0.0068646,0.052974,0.0009883,-0.41242,-0.93616,0.42603,-0.056641,-0.50588,0.37265,-0.94842,-1.5279,0.46825,0.82554,1.1641,-0.61024,-0.52802,0.15903,-0.56237,0.095912,-1.6728,1.1628,0.85126,-0.030636,-0.34806,0.4029,-0.64968,0.88143,1.0796,-0.63731,-0.12808,0.10683,-0.64288,-0.050165,-0.29726,-0.75744,-0.2869,0.16473,0.21207,-0.19366,0.037621,1.3716,-0.75551
-0.4529,0.15384,0.077449,0.82315,-2.5747,0.45445,0.75188,-0.43535,0.23326,-0.68265,-0.72215,-0.1003,-1.1683,-0.5796,0.21388,0.71858,0.26842,-0.34248,0.18024,-0.59977,-0.069475,-0.80022,-0.86507,-0.51465,0.083908,0.568,-1.4145,1.2751,1.3311,0.087358,-0.085602,0.39161,0.062222,-0.68524,-1.1961,0.65523,-0.28131,-0.60102,0.72042,-1.1666,-2.1774,0.23741,1.0707,1.3332,-0.60732,-0.6711,0.64619,-0.83839,0.26531,-1.9174,1.5711,1.1836,-0.17639,-0.37703,0.40763,-0.55021,0.90585,1.3038,-0.93071,0.13258,0.026597,-0.70212,-0.054312,-0.40061,-1.0161,-0.10917,0.32576,0.37441,-0.018231,-0.08084,1.4725,-0.92328
-0.63824,0.39277,0.086133,1.0113,-3.1281,0.9132,0.80683,-0.83737,-0.081538,-0.93094,-0.77207,-0.32961,-1.2146,-0.68969,0.14063,0.55155,0.4958,-0.80871,0.070023,-0.86951,0.10916,-0.84675,-1.4761,-0.47437,-0.30453,0.92911,-1.5427,1.6517,1.6206,-0.27036,-0.17585,0.55949,0.16727,-0.44106,-1.2604,0.99268,-0.18035,-0.60439,0.28674,-1.2459,-2.573,0.25819,1.363,1.8996,-0.89503,-0.84008,0.75655,-1.0193,0.19875,-2.0737,1.7842,1.4652,-0.058301,-0.38514,0.6301,-0.63627,0.75195,1.6819,-1.0745,0.2027,0.11516,-0.76108,0.14093,-0.38255,-1.029,0.013141,0.055067,0.64702,-0.25572,-0.066826,2.1138,-0.95707
-0.82914,0.39102,0.25824,0.86524,-4.0006,0.94524,1.1254,-1.1223,0.052158,-1.3134,-1.1693,-0.36126,-1.6147,-0.76468,-0.19438,0.67909,0.87827,-0.97082,0.088938,-0.83189,0.024551,-1.2372,-1.9215,-0.54699,-0.36068,0.80731,-1.3902,2.0268,1.6296,-0.18986,-0.18257,0.58546,0.19003,-0.45593,-1.4132,1.4166,-0.2429,-0.95919,0.52202,-1.4913,-3.1843,0.47132,1.5565,2.2078,-1.1498,-0.6849,1.1588,-1.4422,0.25034,-2.58,2.1495,1.6173,-0.49329,-0.43246,0.52285,-0.63409,0.65994,2.01,-1.0624,0.047843,0.014565,-0.75476,0.027293,-0.3666,-1.1045,0.023501,0.16403,0.58993,-0.29061,0.41817,2.4132,-0.93105
