P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.035457,0.012139,0.036529,0.17175,-0.085377,-0.043607,0.10339,0.015026,0.010854,-0.054415,-0.037228,-0.061702,-0.060661,-0.064012,0.066391,0.084871,0.0095856,-0.0098989,0.11003,-0.12655,-0.060727,-0.07244,0.010754,-0.068827,-0.080099,-0.0085877,-0.1081,0.027872,0.12793,0.029917,0.0052285,-0.04351,-0.020422,-0.046999,-0.10797,0.032874,0.045324,0.018504,-0.023877,0.0021942,-0.081091,0.015432,0.12389,-0.038108,0.028212,-0.04928,-0.00020759,-0.0075361,0.11541,-0.11199,0.08628,0.04826,0.10952,-0.041938,0.015119,-0.037021,0.010392,-0.011059,-0.017587,-0.031019,-0.029022,-0.14779,-0.017007,0.1297,-0.08243,-0.11952,0.12066,-0.036001,0.00060138,-0.062944,0.14276,-0.087318
0.046122,-0.013224,0.039612,0.31671,-0.30826,-0.04121,0.18097,0.034935,0.032775,-0.086699,-0.089067,-0.12053,-0.21562,-0.14077,0.12031,0.24175,0.045859,-0.028902,0.18594,-0.28644,-0.080994,-0.17858,-0.04421,-0.17355,-0.16047,0.12278,-0.22416,0.18101,0.31979,0.0083285,0.044828,-0.017017,-0.0078467,-0.14062,-0.28598,0.10811,0.04572,0.032797,-0.015257,-0.062135,-0.22393,0.072839,0.21718,0.061159,0.044961,-0.052763,0.02673,-0.014211,0.21211,-0.24448,0.20224,0.14062,0.13902,-0.13747,-0.0012789,-0.13655,0.12002,0.073894,-0.108,-0.025471,-0.096072,-0.3464,0.0057395,0.10377,-0.12842,-0.26092,0.25935,-0.064422,-0.0012418,-0.0066567,0.33846,-0.20698
-0.010931,-0.091532,-0.0098436,0.51975,-0.50547,-0.046096,0.23211,-0.080674,0.085063,-0.15442,-0.17983,-0.068483,-0.39399,-0.17965,0.14354,0.39728,0.12016,-0.04603,0.14947,-0.45116,-0.027912,-0.34842,-0.16214,-0.32484,-0.11096,0.28851,-0.4118,0.38764,0.40141,0.085415,0.10676,0.033633,-0.046496,-0.1598,-0.44766,0.14086,0.093819,-0.00078801,0.041418,-0.2466,-0.43621,0.13255,0.33035,0.20972,-0.11179,-0.19233,0.026361,-0.039765,0.19868,-0.47595,0.43503,0.33217,0.14216,-0.25902,-0.00077454,-0.32151,0.26659,0.18418,-0.261,-0.089242,-0.10799,-0.46567,0.066301,0.018496,-0.28326,-0.39822,0.38736,-0.0020003,0.0016652,-0.082309,0.49675,-0.31242
-0.1044,-0.014631,-0.078706,0.66326,-0.82858,-0.047301,0.38966,-0.15599,0.13946,-0.30854,-0.32944,-0.014552,-0.57256,-0.35286,0.17732,0.54278,0.16343,-0.1986,0.094183,-0.60323,0.024938,-0.5269,-0.31205,-0.31352,-0.057584,0.4038,-0.62362,0.56368,0.56766,0.041698,0.15091,0.12302,-0.055301,-0.21317,-0.57594,0.28932,0.12048,-0.1049,0.14231,-0.40669,-0.6778,0.21657,0.38957,0.41281,-0.24391,-0.35645,0.098754,-0.15544,0.21074,-0.76336,0.71858,0.50438,0.054007,-0.36931,0.025006,-0.53295,0.53008,0.44964,-0.39056,-0.13331,0.0049089,-0.54612,0.099477,0.0058633,-0.40636,-0.37733,0.39335,0.043331,-0.054954,-0.14842,0.63857,-0.51226
-0.26577,0.044035,-0.087384,0.78293,-1.274,0.14594,0.58536,-0.24817,0.052112,-0.4584,-0.41896,0.019353,-0.78831,-0.49097,0.22719,0.58633,0.24643,-0.26773,0.13894,-0.67669,0.0014246,-0.67718,-0.48368,-0.32885,-0.034877,0.47529,-0.8379,0.77686,0.81219,-0.0033131,0.064891,0.1444,-0.061125,-0.3828,-0.82809,0.37855,0.064558,-0.22609,0.26953,-0.66086,-1.0248,0.26081,0.62428,0.65664,-0.36384,-0.45382,0.21008,-0.38009,0.17796,-1.0961,0.99447,0.69886,-0.050011,-0.52206,0.20775,-0.602,0.67695,0.70978,-0.50176,-0.08885,0.080074,-0.645,0.069081,-0.20376,-0.66586,-0.30791,0.33692,0.17534,-0.080741,-0.2109,0.88586,-0.62497
-0.40134,0.073174,-0.12581,0.83901,-1.7825,0.37132,0.70372,-0.37368,-0.011249,-0.61027,-0.52549,-0.088065,-0.93349,-0.51806,0.18681,0.57602,0.25483,-0.39079,0.10384,-0.78505,-0.0065466,-0.80495,-0.71385,-0.36078,-0.053394,0.62951,-1.114,1.0646,1.0681,-0.03977,-0.035701,0.23215,-0.1135,-0.44685,-1.0119,0.50892,-0.068717,-0.40116,0.33569,-0.90472,-1.5023,0.37107,0.86019,1.0393,-0.53716,-0.5358,0.30605,-0.59718,0.16653,-1.4866,1.2627,0.90727,-0.16916,-0.50411,0.35393,-0.65977,0.78728,1.0132,-0.62713,-0.049222,0.14684,-0.69632,0.0012648,-0.37026,-0.86278,-0.18013,0.2343,0.31649,-0.11506,-0.13212,1.2291,-0.756
-0.55992,0.1358,-0.092036,0.90175,-2.4231,0.56304,0.81929,-0.55173,-0.022023,-0.72353,-0.67052,-0.23979,-1.0428,-0.55727,0.13037,0.64701,0.35771,-0.54101,0.10334,-0.76708,-0.0037114,-0.86475,-0.97788,-0.47812,-0.13518,0.76209,-1.346,1.2713,1.3357,-0.13997,-0.097887,0.36936,-0.095667,-0.47199,-1.2194,0.78303,-0.1788,-0.55665,0.33396,-1.115,-1.9854,0.36512,1.1434,1.4306,-0.71272,-0.64224,0.59344,-0.82049,0.15826,-1.8767,1.4749,1.1825,-0.22582,-0.48354,0.45307,-0.63745,0.84789,1.3319,-0.81405,0.046922,0.16391,-0.75697,-0.027473,-0.41376,-0.9777,-0.10348,0.14976,0.44767,-0.14794,-0.058663,1.5793,-0.81028
-0.68989,0.25857,0.032228,0.93667,-3.1143,0.85077,0.86664,-0.78023,-0.0073828,-0.84152,-0.79299,-0.32513,-1.2421,-0.6847,0.042686,0.62553,0.52829,-0.81786,0.079509,-0.79225,-0.079759,-0.8915,-1.3442,-0.56107,-0.24304,0.84725,-1.4742,1.5285,1.5516,-0.16163,-0.22478,0.52403,0.0043733,-0.39782,-1.4169,1.0867,-0.2596,-0.80074,0.38198,-1.2957,-2.5764,0.33105,1.3153,1.8282,-0.99049,-0.82372,0.88225,-1.139,0.20429,-2.2126,1.8134,1.4098,-0.37256,-0.44708,0.50785,-0.64702,0.80673,1.7128,-0.90094,0.11097,0.11835,-0.81139,-0.019272,-0.43444,-1.1252,-0.092772,0.081877,0.57078,-0.19731,0.13147,1.9392,-0.78756
-0.78185,0.43687,0.12839,0.95342,-3.9024,1.0788,1.0469,-0.98959,0.016343,-1.0737,-0.9877,-0.42295,-1.4846,-0.78325,-0.051155,0.55516,0.69547,-1.0409,0.15363,-0.88644,-0.0015985,-0.93026,-1.8045,-0.62591,-0.35161,0.9042,-1.5458,1.8736,1.6509,-0.12085,-0.33941,0.75608,0.11319,-0.43959,-1.5082,1.2909,-0.28778,-1.0391,0.50423,-1.464,-3.0502,0.36329,1.5646,2.2617,-1.1615,-0.95737,1.1753,-1.4886,0.24071,-2.5881,2.0189,1.5666,-0.52196,-0.44068,0.46675,-0.57512,0.69429,1.991,-0.93808,0.16573,-0.053764,-0.90889,-0.046367,-0.54246,-1.1654,0.0072222,0.0278,0.61418,-0.28156,0.42464,2.3498,-0.83178
