P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
0.048887,-0.05493,0.038044,-0.073363,0.044706,0.014394,-0.014095,-0.070882,0.10473,0.094398,-0.0074316,0.05673,-0.018167,0.017351,0.020576,0.015398,-0.03183,-0.036163,-0.14053,-0.035428,0.030583,-0.061057,0.041078,-0.053523,0.032603,0.03693,-0.050605,0.02627,0.031437,-0.025745,-0.017167,0.045303,-0.042788,0.026145,-0.099675,-0.0012196,-0.017494,-0.012408,0.010655,-0.00051897,0.012894,0.032049,-0.057172,0.0010687,0.029459,-0.000485,0.009135,0.03115,0.080534,-0.0078509,0.023972,0.00028032,0.00073468,-0.025605,9.95E-05,0.010264,0.048465,0.04234,0.074523,-0.0046824,-0.0085064,0.068845,-0.016867,-0.087353,0.026819,0.066816,0.061099,-0.044471,0.042926,0.067539,-0.024628,-0.052564
0.0061476,0.059219,0.008324,-0.1259,0.074611,0.039414,-0.01217,0.093982,-0.031554,0.053552,0.016991,0.18272,-0.01008,-0.056778,0.0045518,0.067641,0.14816,-0.038311,0.0047086,0.06736,-0.11044,0.11482,0.036867,0.011667,0.072118,-0.041871,-0.028402,-0.095939,-0.00012423,-0.049602,-0.019466,-0.048212,0.27188,0.16956,-0.13139,-0.12237,0.052141,-0.010333,-0.099297,-0.013151,0.14286,0.064352,-0.029548,0.093749,0.12833,-0.016883,0.085521,0.046793,-0.043465,0.039919,0.1264,0.0023928,-0.069403,0.03334,0.071639,0.067454,0.024982,0.096522,-0.031034,-0.055031,-0.10514,0.026633,-0.022832,-0.054035,-0.044808,0.11036,0.07775,-0.003483,0.043327,-0.056539,-0.034276,-0.059126
-0.10453,0.090731,-0.1271,0.098696,0.070573,-0.037538,0.010239,-0.089171,-0.055826,0.095421,0.13871,0.21966,0.033023,-0.26091,0.070669,0.16276,0.11017,-0.033752,0.092476,-0.070628,-0.13768,0.22157,0.070587,0.14358,-0.10305,-0.1426,-0.062871,0.1335,0.003429,-0.22115,-0.09815,0.14031,0.25946,0.14085,0.014767,-0.17036,0.12111,-0.018214,0.004726,-0.059071,0.45646,0.00036696,-0.16157,0.22217,0.17716,-0.090377,0.32617,0.19076,0.0016554,0.056894,0.22999,0.17387,0.22397,0.060756,0.10315,0.1132,-0.029674,-0.10709,0.021832,-0.14152,-0.11817,0.078132,0.1245,-0.19543,-0.11624,0.104,0.12761,0.095463,0.10327,-0.25784,-0.11366,0.16758
-0.17409,-0.007922,-0.41469,0.13291,0.24486,-0.24896,-0.20659,-0.22267,0.037025,0.26389,0.085596,0.39011,0.10775,-0.44984,0.21388,0.20428,0.1999,0.044471,0.10804,-0.08931,-0.22709,0.68113,0.016394,0.20749,-0.13724,-0.30538,-0.077658,0.14336,0.012928,-0.16379,0.03026,0.29714,0.41284,0.27766,-0.08648,-0.26296,0.021251,0.033153,-0.15594,-0.1563,0.60989,0.20762,-0.20551,0.24744,0.25637,-0.19005,0.63399,0.12549,-0.030585,0.11201,0.263,0.12957,0.11528,0.077185,0.24602,-0.004315,0.16467,-0.14806,-0.081757,-0.29249,-0.023689,-0.080041,0.062543,-0.40102,-0.30807,0.28379,0.12073,0.17608,0.17889,-0.3528,-0.19439,0.20793
-0.038996,0.057737,-0.62414,0.037839,0.3201,-0.38248,-0.17446,-0.40151,0.049802,0.43439,0.085584,0.27777,0.13744,-0.64818,0.10021,0.36312,0.32849,0.13262,0.20002,-0.14121,-0.37382,0.88288,-0.092405,0.26847,-0.32115,-0.46725,-0.2869,0.24916,0.14597,-0.054608,-0.0057918,0.31514,0.23924,0.25458,-0.016857,-0.46023,-0.03514,0.04067,-0.080477,-0.42506,0.80958,0.1098,-0.2634,0.38137,0.064704,-0.15369,0.72654,0.13079,0.098803,0.17075,0.22884,0.26817,0.15787,0.19368,0.13724,-0.033658,0.25165,-0.2672,-0.059624,-0.35125,-0.0094033,-0.025239,0.13488,-0.45815,-0.47643,0.61053,0.021013,0.15978,0.015331,-0.37702,-0.20777,0.34797
0.13615,-0.069898,-0.8322,0.005616,0.42584,-0.46166,-0.21109,-0.62988,0.043042,0.38893,0.083547,0.42828,0.11749,-0.89884,0.15858,0.28405,0.3574,0.11829,0.23826,-0.15757,-0.68224,1.1515,-0.14302,0.20165,-0.44369,-0.66856,-0.63205,0.49064,0.14278,-0.075723,0.12591,0.39787,0.21957,0.38945,0.036804,-0.48024,-0.10063,0.1467,-0.17988,-0.61071,1.0521,0.0097587,-0.30631,0.62681,0.035688,-0.33986,0.91589,-0.007512,0.042628,0.16961,0.28479,0.31004,0.11042,0.29725,0.1852,0.099565,0.18714,-0.34868,-0.097496,-0.54436,0.090304,-0.17443,0.17451,-0.53704,-0.53011,0.93816,0.073279,0.32816,0.021622,-0.45004,-0.49653,0.28103
0.1368,-0.064525,-0.94183,-0.19249,0.50414,-0.48363,-0.41683,-0.88264,0.16235,0.35013,0.10898,0.49493,0.13823,-1.0048,0.080236,0.2847,0.62324,0.27007,0.33882,-0.14637,-0.92762,1.6474,-0.16223,0.16582,-0.57998,-0.72415,-0.84299,0.7163,0.27876,0.018297,-0.011698,0.72582,0.19416,0.39939,0.24757,-0.67609,-0.30429,0.16823,-0.26485,-0.8127,1.2897,-0.015049,-0.28701,0.6773,0.030426,-0.46787,1.0264,-0.33648,0.15353,0.33887,0.16932,0.55355,-0.031856,0.27334,0.21944,0.15746,0.45352,-0.7171,-0.088354,-0.62663,0.12826,-0.30648,0.20538,-0.50541,-0.73061,1.0448,0.18002,0.48225,-0.040218,-0.68636,-0.66576,0.12127
0.11182,-0.16858,-1.0603,-0.43029,0.80697,-0.44833,-0.43952,-0.94494,0.069635,0.36294,0.34032,0.38942,0.13397,-1.1691,0.24787,0.25678,0.81508,0.31855,0.51329,-0.1861,-1.2043,2.0584,-0.36503,0.082058,-0.60552,-0.80911,-1.3429,0.92547,0.63747,0.04212,-0.058526,0.85107,-0.094805,0.35101,0.31404,-0.77565,-0.47005,0.22717,-0.411,-1.0775,1.6631,0.039348,-0.36561,0.78558,0.01846,-0.51956,1.0964,-0.54992,0.32752,0.31491,0.15774,0.61515,-0.27866,0.45984,0.48954,0.28036,0.67897,-0.98133,-0.047172,-0.92945,0.22971,-0.42388,-0.011308,-0.50619,-0.70721,1.3333,0.016044,0.634,-0.055184,-0.67172,-0.88842,0.080991
-0.014118,-0.094833,-1.1032,-0.62446,1.0958,-0.46259,-0.56146,-0.95705,0.078599,0.18932,0.40007,0.30475,0.13472,-1.409,0.26822,0.22876,0.95529,0.38668,0.60599,-0.21312,-1.6538,2.4873,-0.41499,0.10378,-0.87061,-0.87383,-1.5659,1.1886,0.80787,0.17718,-0.029971,1.1356,-0.39512,0.60656,0.42464,-0.755,-0.86317,0.40447,-0.22789,-1.3971,1.983,-0.20271,-0.67349,0.83674,-0.1429,-0.69108,1.2267,-0.67163,0.49415,0.41003,-0.072008,0.67974,-0.46531,0.61955,0.70168,0.42014,0.73127,-1.1591,0.076367,-1.095,0.30592,-0.64583,-0.1449,-0.41293,-0.99649,1.8209,0.046963,0.84132,-0.12533,-0.87735,-1.1754,-0.012734
-0.18231,-0.29713,-1.1146,-0.76806,1.4826,-0.42392,-0.71037,-0.80468,-0.037493,-0.0072656,0.50405,0.30222,0.11026,-1.6399,0.31064,0.096423,1.1986,0.56433,0.78957,-0.33371,-1.9564,2.9635,-0.66295,0.0062286,-0.8389,-1.0121,-1.674,1.271,1.1464,0.31459,0.047201,1.3369,-0.80024,0.65462,0.40057,-1.0316,-1.2204,0.43902,-0.3045,-1.5362,2.2372,0.011914,-0.92377,1.0862,-0.19846,-0.90456,1.3329,-1.1168,0.77197,0.4925,-0.034127,0.82348,-0.65996,0.80139,0.77842,0.44769,0.90073,-1.4427,0.12981,-1.3334,0.27441,-0.97219,-0.38996,-0.33012,-1.3579,2.2737,0.23246,1.1052,-0.44583,-0.89897,-1.2336,-0.0025089
