P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.21093,-0.50459,-0.18755,-0.13859,0.32547,0,0.3106,0.15536,0.11603,0.44237,0.29012,0.0096849,-0.018866,0.29262,-0.028769,0.12175,0.50782,-0.12864,-0.35576,0.30671,0.39829,-0.29485,0.49634,0.14725,-0.069267,-0.2878,-0.2467,0.23867,0.53798,-0.052835,0.031315,-0.42791,-0.35204,-0.21426,-0.10909,-0.011185,-0.016547,0.44182,0.69102,0.15044,0.025399,0.20482,-0.13891,-0.06272,0.62559,0.24784,-0.0070587,0.53269,-0.18461,-0.06829,-0.39204,0.13286,0.57233,0.19556,-0.042228,0.39151,-0.26543,0.076589,-0.10699,-0.0551,0.21892,0.20402,-0.36398,0.29168,-0.070015,0.071477,0.025695,-0.25007,-0.44675,0.70046,-0.34105,-0.28473
-0.23591,0.35196,-0.0073348,-0.40995,0.13381,0.03648,0.033561,0.37077,-0.19878,-0.016745,-0.0116,0.098949,-0.35933,-0.23814,-0.028769,0.38948,0.33667,-0.38914,0.25756,0.30528,-0.20464,0.16927,0.49954,0.1075,0.02606,0.023862,-0.092373,-0.37441,-0.10038,-0.21225,0.1125,0.23298,0.35241,0.4884,-0.43307,-0.13224,0.033242,-0.0097558,-0.45073,-0.067693,0.29482,-0.10488,-0.034469,0.13132,0.10131,0.19134,0.21175,0.47944,-0.059454,-0.45947,0.12264,0.21009,-0.029189,-0.39301,0.45197,0.15623,-0.1006,0.076589,-0.29032,-0.99874,-0.033804,-0.11924,0.30413,-0.33367,-0.47772,0.41051,0.025635,0.030294,0.12203,-0.54001,0.015872,-0.11753
-0.38504,0.28566,-0.090219,0.13936,0.12672,-0.063894,0.15884,-0.12141,-0.083141,0.13986,0.092811,0.25659,0.049958,-0.45728,0.02803,0.16839,0.22591,-0.084168,0.30061,-0.26941,-0.30022,0.25987,0.076406,0.27929,-0.17688,-0.47501,0.094504,0.076956,-0.09066,-0.46471,-0.052583,0.55011,0.73454,0.1104,-0.3704,-0.42319,0.11669,-0.0097558,0.019415,-0.29444,0.55835,-0.14841,-0.20578,0.2997,0.42384,-0.23164,0.59772,0.35766,0.17772,0.20702,0.31868,0.30131,0.26791,0.048798,0.10414,0.10915,-0.26045,-0.091696,0.26396,-0.99874,-0.29079,0,0.23462,-0.0095462,-0.14795,0.12112,0.072304,0.19413,0.38842,-0.41652,-0.23015,0.39035
-0.26246,-0.2444,-0.38139,0.34538,0.4055,-0.23974,-0.28285,-0.34286,0.040168,0.35144,0.24383,0.36239,0.6274,-0.59687,0.33159,0.37347,0.37175,-0.0072991,0.11739,-0.087157,-0.324,1.0703,0.054578,0.4304,-0.26583,-0.73299,-0.092373,0.42231,0.014353,-0.19455,0.17425,-0.022164,0.33793,0.36301,-0.079043,-0.29762,0.019091,-0.0097558,-0.21009,-0.46796,0.75531,0.15129,-0.28255,0.28407,0.30317,-0.46046,1.0651,0.064813,-0.064504,0.1974,0.40803,0.12702,0.62602,0.36232,0.14936,-0.038356,0.39165,-0.12203,-0.30907,-0.27633,-0.063296,-0.12027,-0.056811,-0.56396,-0.29354,0.21225,0.1284,0.34857,0.16475,-0.62827,-0.25351,0.82643
0.03348,0.080206,-0.70754,0.055903,0.49954,-0.40891,-0.076589,-0.54202,0.0095009,0.57163,0.065919,0.31795,0.14496,-0.71692,0.32099,0.52296,0.48899,0.2773,0.29146,-0.34119,-0.46153,0.91217,-0.19977,0.28702,-0.39608,-0.70268,0.009456,0.33969,0.22358,0.092155,-0.023919,0.282,0.23352,0.45209,-0.0070921,-0.90092,-0.14525,-0.0097558,-0.10665,-0.70785,0.89385,0.084748,-0.38955,0.45114,-0.014018,0.026693,1.0276,-0.089805,0.067206,0.1974,0.24085,0.41485,0.22556,0.17239,-0.10414,-0.12494,-0.40708,-0.25599,-0.26122,-0.31949,-0.25077,-0.17219,0.27382,-0.85585,-0.5224,0.82592,0.053938,0.18698,-0.069267,-0.72943,-0.25674,0.30061
0.28985,-0.092644,-0.92443,0.13755,0.54844,-0.45646,-0.38983,-0.76697,-0.0095009,0.42703,0.065759,0.38721,-0.22021,-0.89381,0.30217,0.25919,0.42112,0.051678,0.33299,-0.18735,-0.6694,1.118,-0.27005,0.31204,-0.53427,-0.88457,-0.63108,0.42841,0.12909,-0.074802,0.12878,0.45747,0.23352,0.51277,-0.020687,-0.6288,-0.21918,0.084544,-0.3552,-0.90211,1.0371,-0.019368,-0.33702,0.78372,0.16707,-0.46888,1.4147,-0.22155,-0.14901,0.1974,0.40927,0.49973,0.9508,0.66124,0.16555,0.02347,-0.0287,-0.25599,0.31344,-0.6454,0.0589,-0.25891,0.24498,-0.36016,-0.94305,1.3001,0.039885,0.43984,-0.23974,-0.57607,-0.78707,0.52148
0.18653,0.079351,-1.4731,-0.028632,0.64164,-0.51601,-0.59922,-1.0358,0.019182,0.29798,0.065759,0.48127,0.11626,-1.1255,0.19231,0.24381,0.73212,0.28754,0.42841,-0.2992,-1.0447,2.1002,-0.35766,0.1687,-0.6544,-0.79527,-0.82782,0.89243,0.35933,0.076589,0.054578,0.91409,0.23352,0.44856,0.1683,-1.0975,-0.43748,0.17604,-0.43847,-1.1006,1.3164,-0.11092,-0.25559,0.7854,0.0095009,-0.6435,1.3846,-0.58216,0.11905,0.27636,0.18136,0.6473,-0.059454,0.2404,0.16555,0.10909,0.80407,-0.72943,-0.39242,-0.64255,0.46365,-0.35251,0.15761,-0.96495,-0.7017,1.1458,0.15587,0.69171,-0.032852,-0.71928,-0.60279,-0.20122
0,-0.21426,-1.2714,-0.39227,0.97354,-0.45094,-0.49819,-1.1071,-0.0071941,0.32025,0.34157,0.39592,1.0769,-1.2765,0.19924,0.24146,0.92636,0.37338,0.60721,-0.28738,-1.4614,2.2076,-0.4551,-0.0070092,-0.76533,-0.93906,-1.2961,1.2692,0.67026,0.052709,0.054707,1.3085,-0.087248,0.41283,0.29903,-1.2836,-0.60509,0.29661,-0.66663,-1.3086,2.0195,-0.0096615,-0.37919,0.78878,0.013888,-0.57558,1.2379,-0.86396,0.44786,0.39659,0.0097321,0.74702,-0.27338,0.68267,0.38006,0.27639,1.2407,-0.72924,-0.57687,-0.97558,0.3147,-0.48403,-0.26092,-0.52121,0.021273,1.3397,0.060392,0.85836,0.16865,-0.86449,-0.87698,-0.86702
-0.13001,-0.10614,-1.0832,-0.77869,1.3995,-0.44761,-0.70503,-0.97238,-0.067368,0.13992,0.3461,0.31174,0.12525,-1.6989,0.22961,0.14396,1.1337,0.41477,0.73494,-0.3173,-1.7448,2.9023,-0.55459,0.078784,-0.93437,-1.007,-1.5877,1.6771,1.0496,0.22698,0.054707,0.9292,-0.74151,0.62418,0.4544,-0.70937,-1.0759,0.53398,-0.23573,-1.7231,2.606,-0.28314,-0.60935,0.81215,-0.31584,-0.57816,1.4041,-0.94778,0.61581,0.49769,-0.2268,0.85827,-1.0514,0.97754,0.73336,0.548,0.46257,-1.1516,-0.033641,-1.2951,0.5236,-0.74528,-0.26092,-0.03109,-0.99036,2.3996,0.060392,1.0838,-0.1419,-1.0114,-1.4662,0.66887
-0.34076,-0.32698,-1.364,-0.88674,1.8727,-0.43793,-0.89494,-0.66799,0.038259,-0.12817,0.48152,0.26837,-0.23352,-1.9354,0.28698,-0.014741,1.4068,0.60629,0.89341,-0.451,-2.1241,3.3603,-0.76011,0.016586,-0.91972,-1.1753,-1.6686,0.92456,1.4951,0.46891,0.066568,1.6949,-1.1114,0.64873,0.46258,-1.0107,-1.7259,0.49583,-0.43258,-1.7802,2.3368,-0.29604,-0.99661,1.0793,-0.20015,-1.0917,1.599,-1.5052,1.0316,0.5938,-0.10208,0.99483,-1.1747,0.77853,1.1411,0.59313,1.4144,-1.4607,-0.25769,-1.7026,0.28331,-1.0778,-0.76363,-0.45936,-1.9832,2.8295,0.25637,1.3495,-0.47008,-1.1071,-1.8566,0.0072638
-0.1456,-0.55785,-1.1386,-0.67843,2.0745,-0.38096,-0.55228,-0.80433,-0.084138,-0.1733,0.47525,0.35684,0.08155,-2.0829,0.20018,0.36919,1.6828,0.56116,1.2667,-0.60036,-2.475,3.957,-0.88626,-0.13394,-1.0525,-0.9657,-1.3632,2.1794,1.9092,0.37449,0.1419,1.4644,-1.3856,0.64873,0.55716,-0.88273,-1.481,0.67258,-0.082338,-1.9486,2.7963,-0.11639,-1.0692,1.1394,-0.36232,-1.4211,1.5708,-1.9333,1.3795,0.71796,0.10724,1.0783,-0.83576,1.0234,0.92681,0.71444,1.4148,-1.4607,0.040745,-1.5355,0.085912,-1.5997,-0.86868,-0.067812,-1.6097,3.3643,0.2722,1.628,-0.85466,-1.2513,-1.2055,-0.38595
0,-0.71433,-1.4029,-0.78206,2.0188,-0.42841,-0.45611,-0.6071,-0.31124,-0.028361,0.63442,0.22985,-0.14491,-1.9268,0.66228,0.28831,1.6608,0.6057,1.988,-0.75782,-2.8129,4.4536,-1.0592,-0.080968,-1.1298,-1.1113,-2.3143,1.6121,1.9747,0.7044,0.2999,1.7107,-1.3066,0.64873,0.55421,-1.3145,-1.9982,0.84802,0.088709,-2.0823,2.9084,0.13057,-1.3385,1.4962,-0.11013,-1.1589,1.6861,-2.334,1.4544,0.66799,0.25469,1.1687,-1.3933,1.4025,1.3734,0.95135,1.2016,-2.1809,0.74326,-1.9517,0.47158,-1.7974,-0.57974,0.23824,-1.9007,4.066,0.37659,1.9038,-0.46146,-1.4017,-1.7621,-0.071133
0.082945,-0.20208,-1.4638,-0.89943,2.4496,-0.29887,-0.77363,-0.67322,-0.27301,0.073328,0.63442,0.19367,0.30743,-2.112,0.59655,0.44675,1.5324,0.60048,2.4146,-0.91452,-3.3249,5.001,-1.2521,-0.30203,-1.226,-1.2593,-2.6671,1.7953,2.4281,1.0461,0.54652,1.5613,-1.4788,0.59878,0.57178,-0.83815,-1.8106,1.2243,0.253,-2.2304,3.3491,0.014319,-1.6604,1.4879,-0.072304,-1.5324,1.6791,-2.7638,1.666,0.8054,-0.031697,1.3125,-1.0105,1.5294,1.6591,1.1359,1.482,-2.1809,1.0669,-2.406,0.69474,-2.2885,-0.77355,0.536,-2.2047,4.448,0.74753,1.8675,-0.22861,-1.5684,-1.5239,-0.35877
0.033085,-0.46678,-1.5708,-0.63543,2.9703,-0.2176,-0.8663,-0.75605,0.12848,0.41485,0.42231,0.10563,0.30816,-2.4126,0.41214,0.34319,1.6643,0.42472,2.7124,-1.1189,-3.7056,5.2731,-1.3218,-0.47109,-1.5491,-1.1573,-3.1273,2.3102,3.0819,1.6693,0.86576,1.6804,-1.8113,0.41601,0.575,-0.42319,-2.2211,1.5453,0.45197,-2.3948,3.2614,0.20122,-1.6993,1.6064,0.14356,-1.7066,1.777,-3.232,1.9228,0.63703,0.25142,1.3678,-1.2997,1.6641,1.9149,1.2642,0.71316,-3.1985,1.9437,-3.1094,0.42297,-2.6049,-0.77355,0.16707,-2.6998,4.8275,1.4216,2.5848,-0.42112,-1.772,-1.9187,-0.093841
-0.042427,-0.28848,-1.4438,-0.73511,3.5506,-0.36926,-0.97034,-0.52152,0,0.78875,0.64721,0.030869,0.30816,-2.1241,0.38761,0.50009,1.8042,0.092756,3.5216,-1.3312,-4.6378,5.5949,-1.3495,-0.37602,-1.8339,-1.288,-2.647,2.5902,3.3935,1.8397,1.2892,1.969,-2.0581,0.33385,0.34219,-0.78039,-2.1627,1.1955,0.65296,-2.8478,3.7177,0.3286,-1.7939,1.8193,0.0116,-1.6461,1.894,-3.7894,2.0556,0.34255,0.004878,1.4588,-1.4544,2.0698,2.2766,1.3758,1.4924,-3.2109,2.2836,-3.4785,0.55479,-2.8542,-0.64766,0.37567,-2.5158,5.5196,1.663,2.8554,-0.2866,-1.9279,-2.4182,-0.40457
0.030651,-0.47182,-1.2224,-0.51915,3.927,-0.57687,-0.71277,-0.50475,0.06227,1.046,0.29554,-0.016907,0.30816,-2.3868,0.49583,0.95752,1.7195,-0.1081,4.0751,-1.6294,-5.07,6.0078,-1.4638,-0.5481,-2.0419,-1.3602,-3.3652,2.7055,3.6796,2.1019,1.2513,2.2364,-2.3733,0.2878,0.4941,-0.68967,-2.2157,1.5781,0.61285,-3.2271,3.9438,0.12612,-2.2143,2.0696,0.21642,-1.7415,1.8828,-4.3003,2.24,0.2444,0.15138,1.5756,-1.1956,2.3629,2.4273,1.7451,1.2369,-3.922,1.8956,-3.8566,0.44318,-3.1629,-0.99086,0.6842,-2.7441,6.6234,2.4236,3.0007,-0.196,-2.0344,-2.8504,-0.29381
0.39569,-0.68336,-1.3163,-0.36079,3.9065,-0.45836,-1.4804,-0.34537,0.19645,1.1769,-0.02702,-0.041239,0.21997,-2.074,0.3999,1.041,1.9504,-0.36271,4.6748,-1.9786,-5.3222,6.4429,-1.6952,-0.77198,-2.2812,-1.4704,-3.5957,2.3887,3.8531,2.3842,1.4562,2.5608,-2.8501,0.38671,0.1723,-0.5771,-2.5359,1.6362,0.74676,-3.5956,4.5092,0.052583,-2.1972,2.338,0.023525,-1.328,1.4255,-4.8,2.5536,-0.28084,0.053218,1.5969,-1.4776,2.6588,2.1905,1.8661,1.0328,-3.922,2.4438,-4.186,0.51098,-3.3176,-0.95869,0.29056,-2.9832,7.4182,2.862,3.344,-0.35877,-2.0846,-3.3204,-0.51973
