P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
-0.69881,-1.5253,2.563,-0.057767,-1.5375,-0.32882,2.6758,-1.349,1.4515,-2.1555,1.3834,0.050438,-1.7046,1.8375,-0.82856,-2.2527,0.22231,-0.81291,-0.65025,-0.33096,2.4484,2.2071,-0.057906,-0.2999,0.55885,-1.341,0.69656,0.6557,-2.5673,1.3235,0.63453,-1.2249,0.37004,0.86658,0.20578,1.3195,-0.096089,0.60369,0.014353,0.47908,-0.80762,-0.17089,-1.2744,2.3846,-0.29262,2.0507,0.80703,-1.972,-0.38226,-0.65797,-0.54042,-0.29077,0.30846,-1.2082,-0.43847,-0.023749,-0.84137,1.1758,-2.4081,0.0047847,0.85884,-0.48591,-2.2081,-0.49589,0.32998,2.1204,-0.66273,1.1029,0.44555,0.62527,0.023525,-0.4974
-0.75241,-1.6188,2.7679,0.066886,-1.528,-0.067206,2.9933,-1.6406,1.6255,-2.1203,1.7332,0.16437,-2.0483,4.7985,-0.70577,-2.2287,0.38007,-0.5335,-0.64684,-0.77556,2.8325,2.4957,-0.04804,-0.31649,0.38943,-1.4389,0.58278,0.39736,-2.8869,1.7492,0.73953,-1.178,0.38704,1.3037,0.30495,1.5564,0.1908,0.60369,-0.039792,0.67292,-0.9536,0.1476,-1.5494,2.8153,-0.29192,2.3562,0.80703,-1.4442,-0.50284,-0.78872,-0.68323,-0.61581,0.43873,-1.3627,-0.23418,0.47935,-1.0486,1.1597,-2.79,0.28097,0.99802,-0.72108,-2.7464,-0.63584,-0.19126,2.1116,-0.64157,1.357,0.60495,0.81549,-0.2522,-0.907
-0.93677,-1.7407,2.7881,-0.089805,-1.6377,0.021631,3.379,-1.5684,2.068,-2.3579,1.7332,0.65364,-2.527,4.7985,-0.70577,-2.1207,0.67872,0.27282,-0.98015,-0.54925,3.3032,2.8041,0.051597,-0.49426,0.38943,-1.6551,0.49651,1.0032,-3.3654,1.6578,0.8052,-0.8409,0.81043,1.4249,0.40826,1.7872,0.39219,0.56515,-0.039792,0.78372,-1.1361,0.53798,-1.4704,3.208,-0.28823,2.569,1.0083,-2.0887,-0.78377,-0.99661,-0.011467,-1.2475,0.59974,-1.5428,-0.051597,0.54202,-1.566,1.1297,-2.9678,0.04104,1.5921,-0.57628,-2.2759,-0.55528,0.10639,2.1381,-0.94438,1.652,0.68925,1.1492,-0.64497,-0.98675
-0.96911,-2.2422,2.8577,-0.23298,-1.6377,-0.24146,3.7164,-2.2545,2.4322,-2.5269,2.281,0.85332,-2.5428,2.5046,-0.90401,-2.0012,0.87694,0.90189,-0.71504,-1.4107,3.717,2.9381,-0.19598,-0.45833,0.28399,-1.9943,0.36905,1.2725,-3.795,1.9776,1.2796,-0.80688,1.2775,1.5992,0.44324,1.4761,0.72523,0.6485,-0.22194,0.65228,-1.3415,0.46577,-1.34,3.5622,-0.28823,3.0703,0.75891,-2.3884,-0.87272,-1.1292,0.10782,-1.3757,0.3796,-1.6849,0.49492,0.20473,-1.8458,1.5438,-2.8414,0.45415,1.8352,-0.71906,-3.3015,-0.33679,-0.20868,2.3356,-0.942,1.8888,0.96325,1.8751,-0.80533,-1.4017
-0.64757,-2.609,2.8251,-0.23527,-1.6187,-0.077856,4.1422,-2.5723,2.5596,-2.7367,2.6737,0.59878,-2.7879,2.4013,-1.3462,-1.7144,1.1823,1.4197,-1.0789,-1.8788,4.1076,3.1656,-0.2919,-0.37602,-0.014669,-1.843,0.28219,1.5191,-4.2168,2.0737,1.7825,-1.1197,1.6901,1.7788,0.32778,1.631,0.96229,0.8684,-0.54295,0.8287,-1.5169,0.973,-1.364,3.9488,-0.28823,3.4657,1.1392,-2.5617,-0.74298,-0.91265,0.50193,-1.9129,0.74762,-2.3878,0.80717,0.38921,-2.0731,2.4486,-3.5818,0.17387,1.5097,-0.83314,-3.1732,-0.17754,0.15559,2.4843,-1.179,2.1112,1.4607,1.9517,-0.65396,-1.5109
-0.88765,-2.9465,3.0741,-0.23527,-1.5852,-0.36376,4.6791,-3.1653,2.4571,-2.8785,2.9385,0.54808,-3.0492,2.4919,-1.4265,-1.4083,0.98484,1.8808,-1.3905,-2.414,3.8201,3.3548,-0.31649,-0.13076,-0.41556,-1.9151,0.079161,1.2381,-4.852,2.6224,2.0469,-0.78708,1.4975,1.4823,0.48261,2.0735,1.3577,1.0818,-0.62507,0.92682,-1.3264,0.92537,-1.4441,4.6301,-0.31492,4.0052,1.4518,-2.7945,-0.88573,-1.1061,1.1382,-2.0377,1.1562,-2.9176,0.94832,0.42275,-2.0427,2.0077,-3.9236,0.17882,2.0716,-1.1499,-3.9663,-0.069599,0.32792,2.7285,-1.185,2.3359,1.7371,2.1181,-0.57489,-1.9951
-0.84792,-3.3542,3.2871,-0.23527,-1.2809,-0.53488,4.4852,-3.4934,2.7178,-2.7558,3.4183,0.77343,-3.6764,2.66,-1.5684,-0.77367,1.3691,1.8808,-2.0528,-2.9035,3.5997,3.6917,-0.31649,-0.306,-0.54979,-1.8859,-0.023805,1.0646,-4.8204,2.3661,2.2802,-0.5232,1.5874,1.3356,0.38608,1.7915,1.2882,1.2842,-1.0995,1.0054,-1.3555,1.1603,-1.5637,4.8748,-0.31492,3.9674,1.4535,-3.0968,-1.0696,-1.3469,1.021,-2.2071,1.2766,-2.6579,1.5143,0.41631,-2.2437,2.1061,-4.3469,0.56654,2.3047,-1.0316,-3.8482,0.15066,0.59194,2.7108,-1.4025,2.1092,1.9591,2.5099,-0.79375,-2.3138
-0.66597,-3.6771,3.4464,-0.20386,-0.62052,-0.41648,4.8614,-3.7559,3.0253,-2.8914,3.819,1.1094,-3.4928,2.991,-2.0664,-0.43092,1.7884,2.5111,-2.449,-3.5239,4.2173,3.9523,-0.21841,-0.306,-0.56709,-2.0721,0.37875,1.3623,-5.1931,2.5471,2.7981,-0.37212,1.6574,1.2896,0.32905,2.204,1.8041,1.4318,-1.302,1.0944,-1.7487,0.94218,-1.5637,4.8763,-0.21608,4.4172,1.4467,-3.2748,-1.1177,-1.1615,1.2454,-2.582,1.4957,-3.192,1.4618,0.083894,-2.2437,3.1007,-4.7924,0.44136,2.4593,-1.2958,-5.0506,0.035114,0.73593,2.9756,-1.808,2.5104,2.1477,2.4708,-1.1521,-2.5311
-0.69656,-3.6736,3.6898,0.28148,-0.60276,-0.41061,5.3568,-4.0167,3.2379,-3.1224,4.5248,0.90302,-3.9654,3.5952,-2.2536,-0.64919,1.7884,2.927,-2.7767,-3.9806,4.3876,4.4283,-0.25077,-0.25012,-0.61861,-2.2092,0.51445,1.5323,-5.528,2.4605,3.0742,-0.17646,2.1529,1.2009,0.025311,1.7757,1.8041,1.9228,-1.2932,0.98942,-1.448,1.2851,-1.0843,5.5394,0.16321,4.7921,1.8747,-3.401,-1.017,-1.0312,1.4716,-2.9977,1.4586,-3.7168,1.8262,-0.11038,-2.1383,3.7216,-5.2552,0.6274,2.7098,-1.4108,-4.3388,0.1733,0.85827,3.5504,-1.8169,2.8766,2.3495,2.7442,-1.694,-2.2463
-0.61511,-3.9842,3.9635,0.51445,-0.52003,-0.40049,5.7391,-4.2276,3.5514,-3.2802,4.9162,0.82633,-4.626,3.4337,-2.4051,-0.068856,2.4789,3.368,-2.9807,-3.9947,4.2617,4.7721,-0.014353,-0.19927,-0.70709,-2.2578,0.82899,1.6645,-5.5175,2.5926,3.4167,0.059173,2.5053,0.97157,0.13349,2.0261,2.25,2.291,-1.4296,0.78032,-1.4467,1.2162,-1.0637,5.8657,0.74607,5.1655,2.4138,-3.5799,-0.8309,-0.90389,1.963,-3.2986,1.3464,-4.3638,2.2474,-0.026436,-2.2773,3.7216,-5.6665,0.71906,2.9865,-1.1638,-4.5345,0.18093,1.2688,3.438,-2.0691,2.6906,2.5616,3.1583,-1.9116,-2.6186
-0.89721,-4.1988,3.9674,0.60168,-0.29423,-0.18764,6.2832,-4.876,3.8483,-3.4671,5.4877,0.94938,-5.3474,3.5899,-2.471,-0.32098,2.6144,3.8074,-3.2344,-4.8474,4.1508,5.1275,-0.24262,-0.050559,-0.72822,-2.2637,1.3552,1.8863,-5.4218,3.1227,3.6886,0.15066,2.2887,0.7367,-0.42329,2.2896,2.1271,3.2893,-2.043,0.54246,-1.5854,0.91135,-0.81171,6.3264,0.46577,5.3976,2.9058,-3.2279,-0.99141,-0.7837,2.1228,-3.5737,1.1801,-4.2312,2.5589,-0.026436,-2.3944,3.7131,-6.1994,0.49361,3.632,-1.2656,-5.277,0.253,1.693,3.4566,-2.0527,3.1895,2.8008,3.2606,-1.5967,-2.957
-0.99731,-4.1133,4.1707,0.76728,-0.067654,-0.2166,7.0602,-5.244,4.1716,-3.7223,6.0553,0.83184,-5.0112,3.6482,-2.4688,0.27226,2.9576,4.482,-3.6868,-5.7304,4.0526,5.4355,-0.30694,-0.20798,-0.75,-2.566,1.9317,2.2049,-5.6487,3.0666,3.8712,0.03109,2.4797,0.46796,-0.64069,1.6019,2.1489,4.115,-2.2649,0.72767,-1.5958,0.69837,-0.48885,7.1643,0.94354,5.4187,3.4333,-3.6714,-0.921,-0.69108,1.8801,-4.0524,1.4206,-5.0806,2.8603,0.23611,-1.954,4.2227,-6.7489,0.65025,4.0106,-1.4889,-4.5576,0.47212,1.9282,4.0048,-2.1736,3.1895,3.2937,3.4573,-1.7355,-2.839
-1.2964,-4.4406,4.7773,0.98472,0.076044,-0.17178,7.4766,-5.4813,4.273,-3.8412,6.0259,1.0391,-5.7174,4.0407,-2.4936,0.11711,3.5577,4.8355,-4.3222,-6.38,4.4966,5.7709,-0.28512,-0.26378,-0.76862,-2.2925,2.3206,2.4241,-5.4126,3.4436,4.3337,0.11603,2.6627,0.18855,-0.50193,2.0652,2.5069,4.115,-2.8755,0.44555,-1.6173,0.48392,-0.21817,7.4074,0.84668,5.8315,3.631,-3.8859,-0.69724,-0.41173,2.2303,-4.4732,1.0262,-5.2733,3.1659,0.10083,-2.5632,4.2227,-7.4029,0.54252,4.3279,-1.566,-5.7143,0.59535,2.7065,4.1488,-2.3594,3.8088,3.8448,3.5776,-2.0291,-3.922
