P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
-37.673,-24.58,6.4309,37.849,32.876,38.057,53.077,-1.2401,-6.1383,31.419,-13.905,-19.744,-39.587,0.53918,-52.159,41.542,34.647,60.184,-4.4045,-5.0799,-3.1611,48.251,-1.94,27.636,-43.181,-60.628,21.132,44.6,-16.233,1.1664,55.112,36.159,51.08,15.735,28.301,-22.833,-14.199,15.479,1.9853,-26.297,-46.291,28.067,82.631,53.077,21.44,21.068,18.311,-6.9112,47.223,-52.596,19.371,-43.836,24.29,-84.457,-4.003,8.7655,-11.694,-38.789,-77.04,40.751,-2.7449,36.25,-23.655,32.716,34.211,23.697,-5.32,38.371,5.9698,26.195,8.0487,-41.958
-38.154,-24.913,5.9889,37.73,33.546,38.245,53.268,-1.326,-5.5694,31.744,-14.072,-19.729,-39.76,0.024016,-52.747,41.878,34.809,60.086,-4.7728,-4.8735,-3.5406,47.92,-2.1023,27.969,-43.343,-61.103,20.737,44.402,-16.231,0.69016,54.676,36.278,51.307,16.246,28.122,-22.855,-14.818,15.251,2.0164,-25.943,-46.576,27.712,82.757,53.268,21.259,21.353,18.087,-7.1128,47.117,-52.624,19.12,-44.161,24.955,-84.641,-4.3477,9.2253,-12.171,-38.922,-77.404,41.419,-2.5964,36.233,-23.501,33.005,34.542,23.713,-5.9087,38.93,5.769,25.792,7.7043,-42.516
-38.701,-25.183,5.5218,37.649,34.26,38.415,53.511,-1.4714,-4.9476,32.024,-14.21,-19.753,-39.925,-0.5069,-53.333,42.216,35.054,60.063,-5.1703,-4.5731,-4.0351,47.566,-2.3918,28.358,-43.541,-61.562,20.355,44.429,-16.171,0.26022,54.168,36.503,51.46,16.782,27.884,-22.875,-15.46,15.028,1.9585,-25.603,-46.853,27.125,82.798,53.511,21.093,21.677,17.913,-7.2529,47.017,-52.732,18.838,-44.499,25.653,-84.812,-4.6875,9.7927,-12.668,-39.114,-77.645,42.003,-2.4201,36.306,-23.338,33.332,34.941,23.862,-6.3813,39.413,5.5954,25.244,7.3455,-43.075
-39.332,-25.558,5.0918,37.539,34.946,38.489,53.756,-1.6706,-4.3083,32.262,-14.396,-19.836,-40.011,-0.98595,-53.839,42.533,35.335,59.998,-5.5468,-4.3126,-4.6189,47.259,-2.6578,28.793,-43.756,-62.051,20.048,44.444,-16.178,-0.25929,53.682,36.778,51.495,17.499,27.569,-22.864,-16.031,14.788,1.8774,-25.211,-47.14,26.629,82.825,53.756,20.968,22.027,17.76,-7.45,46.918,-52.845,18.592,-44.855,26.323,-84.898,-4.9627,10.284,-13.07,-39.363,-77.897,42.578,-2.3304,36.44,-23.223,33.536,35.324,23.966,-6.9052,39.877,5.4543,24.793,7.0509,-43.578
-39.994,-25.87,4.651,37.397,35.616,38.459,54.108,-1.8113,-3.76,32.46,-14.647,-19.862,-40.119,-1.6184,-54.468,42.794,35.661,59.978,-6.0464,-4.0649,-5.2574,46.977,-2.8488,28.982,-43.958,-62.59,19.859,44.54,-16.187,-0.78075,53.193,37.073,51.547,18.131,27.287,-22.798,-16.612,14.57,1.831,-24.903,-47.507,26.062,82.851,54.108,20.826,22.413,17.596,-7.7474,46.765,-53.05,18.264,-45.148,26.824,-84.945,-5.2333,10.888,-13.519,-39.67,-78.167,43.205,-2.2964,36.508,-23.032,33.695,35.699,24.064,-7.379,40.359,5.2868,24.224,6.7434,-44.149
-40.682,-26.211,4.2513,37.261,36.218,38.479,54.421,-1.9135,-3.3398,32.655,-14.894,-19.944,-40.241,-2.1304,-55.255,43.073,35.822,60.056,-6.6009,-3.7352,-5.7992,46.644,-3.0313,29.118,-44.095,-63.162,19.733,44.684,-16.111,-1.2758,52.677,37.316,51.548,18.787,27.087,-22.726,-17.23,14.381,1.8602,-24.695,-47.807,25.496,82.829,54.421,20.607,22.905,17.378,-8.0343,46.604,-53.274,17.925,-45.43,27.295,-85.107,-5.4843,11.35,-13.875,-39.883,-78.413,43.864,-2.2372,36.572,-22.938,33.835,36.079,24.271,-7.8159,40.776,5.1237,23.702,6.4815,-44.672
-41.348,-26.495,3.8973,37.098,36.819,38.528,54.558,-1.9625,-2.9912,32.729,-15.168,-19.99,-40.462,-2.677,-55.969,43.354,35.945,60.06,-7.1787,-3.4685,-6.3496,46.44,-3.1468,29.28,-44.22,-63.673,19.655,44.833,-16.157,-1.7858,52.102,37.447,51.615,19.54,26.859,-22.769,-17.837,14.168,1.9331,-24.461,-48.184,24.856,82.891,54.558,20.427,23.287,17.279,-8.3752,46.466,-53.554,17.482,-45.767,27.807,-85.246,-5.6354,11.766,-14.234,-40.115,-78.641,44.495,-2.1551,36.652,-22.947,33.868,36.465,24.529,-8.2801,41.25,4.8731,23.17,6.1587,-45.256
-41.873,-26.859,3.6173,36.871,37.363,38.52,54.699,-2.0294,-2.5949,32.81,-15.446,-20.043,-40.599,-3.1592,-56.671,43.546,36.11,60.11,-7.7817,-3.1516,-6.8566,46.197,-3.2184,29.36,-44.358,-64.219,19.584,44.96,-16.23,-2.3451,51.388,37.592,51.758,20.303,26.613,-22.785,-18.5,13.883,2.1096,-24.236,-48.502,24.212,82.919,54.699,20.299,23.588,17.14,-8.7221,46.361,-53.892,17.009,-46.083,28.487,-85.332,-5.722,12.245,-14.596,-40.408,-78.845,45.153,-2.0908,36.855,-22.941,33.881,36.954,24.74,-8.7894,41.646,4.7198,22.735,5.8307,-45.895
-42.369,-27.091,3.3001,36.635,37.996,38.454,54.694,-2.1108,-2.2067,32.864,-15.753,-20.125,-40.682,-3.5748,-57.314,43.719,36.252,60.108,-8.4,-2.947,-7.3656,46.008,-3.264,29.36,-44.55,-64.731,19.422,45.246,-16.388,-2.7242,50.809,37.727,51.95,21.058,26.379,-22.893,-19.004,13.68,2.1845,-23.998,-48.782,23.544,82.876,54.694,20.298,23.924,17.047,-9.0427,46.249,-54.212,16.483,-46.474,29.123,-85.419,-5.8624,12.582,-15,-40.837,-79.047,45.843,-1.9749,36.988,-23.009,33.938,37.494,24.861,-9.2264,42.164,4.461,22.425,5.5383,-46.531
-42.776,-27.255,2.985,36.502,38.549,38.255,54.639,-2.2329,-1.8155,32.98,-16.135,-20.241,-40.786,-3.9683,-57.868,43.875,36.348,60.059,-9.026,-2.6852,-7.9179,45.767,-3.3385,29.366,-44.661,-65.376,19.323,45.516,-16.482,-3.141,50.396,37.982,52.148,21.898,26.192,-23.034,-19.464,13.521,2.3099,-23.739,-49.194,22.929,82.781,54.639,20.319,24.266,16.857,-9.3159,46.066,-54.461,15.952,-46.843,29.738,-85.455,-6.0332,12.901,-15.499,-41.285,-79.23,46.434,-1.9223,37.04,-22.942,33.959,38.001,24.842,-9.8165,42.732,4.2538,22.113,5.3282,-47.013
