P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.037344,0.0058369,0.072415,0.072705,0.013207,-0.069574,-0.038108,0.021421,0.085929,-0.045752,0.029358,0.040705,-0.028111,-0.060441,-0.096938,0.033455,0.02315,0.11784,0.04043,-0.067904,0.10879,0.090486,-0.081615,0.05777,-0.026429,0.19426,0.044324,-0.072811,0.018087,-0.09976,0.1674,0.034468,-0.11962,-0.068213,0.054181,0.12677,0.021062,-0.018739,-0.18088,0.021419,-0.082653,0.17637,0.0031171,0.0074409,-0.11249,0.18251,-0.020016,-0.029641,-0.11845,0.028973,0.066682,0.0395,0.11622,-0.067341,-0.099017,0.017061,0.0057612,-0.050055,0.023187,-0.058393,-0.023148,-0.089202,0.043997,-0.039807,0.0032851,-0.0046892,-0.061942,-0.13115,-0.1007,-0.0028861,0.036126,0.10328
-0.14247,0.033966,0.088882,0.12155,0.027206,-0.13913,0.061159,0.10486,0.21409,-0.08167,0.057696,0.14812,-0.13245,-0.12747,-0.19177,-0.019364,0.088046,0.28991,0.10749,-0.21326,0.24341,0.17287,-0.16417,0.071305,-0.12548,0.31892,0.14816,-0.19161,0.11351,-0.13039,0.31901,-0.026393,-0.31195,-0.0034944,0.16217,0.28531,0.15811,-0.10954,-0.35842,0.039081,-0.11041,0.25273,0.079302,-0.025438,-0.25095,0.27371,-0.11215,-0.064595,-0.21334,0.1148,-0.0002188,0.13033,0.20623,-0.2029,-0.20172,0.048966,-0.0077634,-0.059551,0.11917,0.05538,-0.13903,-0.14584,0.080395,-0.11868,0.10628,0.017618,-0.22835,-0.17973,-0.28724,-0.015878,0.071929,0.23598
-0.3271,0.069708,0.066944,0.12993,0.053685,-0.15966,0.20972,0.19652,0.32196,-0.026308,0.10244,0.27692,-0.26456,-0.16874,-0.137,-0.12701,0.15701,0.37694,0.14195,-0.29044,0.32154,0.18334,-0.30821,0.057787,-0.15718,0.44785,0.22644,-0.27919,0.14876,-0.090422,0.51254,-0.040029,-0.50667,0.02174,0.20508,0.40358,0.4026,-0.093201,-0.52737,-0.021981,-0.073949,0.27045,0.085012,-0.13906,-0.48007,0.36812,-0.24052,-0.23244,-0.40262,0.24031,-0.14996,0.29358,0.32745,-0.2974,-0.37476,0.044743,-0.015978,-0.076503,0.14395,0.15144,-0.067893,-0.19279,0.11437,-0.10574,0.23436,0.036091,-0.38903,-0.28277,-0.412,-0.10004,0.12616,0.34577
-0.57068,0.1828,-0.082623,0.11667,0.048608,-0.2409,0.41281,0.3295,0.34665,0.014395,0.0051803,0.33582,-0.48156,-0.2236,0.061737,-0.13902,0.13705,0.31825,0.2007,-0.46348,0.40042,0.16413,-0.50198,-0.049206,-0.28709,0.70519,0.4236,-0.37798,0.24857,0.045978,0.72787,-0.023931,-0.5439,-0.025732,0.2738,0.40326,0.67337,0.07315,-0.59227,-0.011011,-0.068396,0.29817,0.021553,-0.1482,-0.79606,0.59635,-0.48656,-0.33223,-0.61631,0.40297,-0.25117,0.4797,0.50884,-0.31224,-0.63794,-0.019113,-0.058115,-0.092094,0.22709,0.31507,-0.0031609,-0.19256,0.2144,-0.081421,0.39467,0.1619,-0.48661,-0.38446,-0.58241,-0.21305,0.14368,0.41991
-0.73491,0.30104,-0.17912,0.043928,0.076205,-0.32823,0.65664,0.37493,0.50809,0.11254,-0.038073,0.45284,-0.64604,-0.28284,0.20734,-0.094868,0.1909,0.31659,0.28476,-0.73986,0.44278,0.17503,-0.76762,0.029911,-0.32179,0.9687,0.61205,-0.48873,0.37536,0.25956,1.0126,-0.049193,-0.40819,-0.02019,0.38435,0.47147,0.97442,0.17744,-0.59694,0.035397,-0.0088108,0.34332,-0.12253,-0.22914,-1.2252,0.84677,-0.79778,-0.46593,-0.83307,0.57016,-0.3377,0.67856,0.76796,-0.441,-0.99697,0.038474,0.02994,-0.14239,0.19559,0.5438,0.10134,-0.27307,0.39367,-0.14301,0.57913,0.33848,-0.64342,-0.33086,-0.7753,-0.29232,0.0094695,0.41919
-0.78448,0.4102,-0.2536,-0.14979,0.096756,-0.38811,1.0393,0.46818,0.62053,0.17976,-0.10106,0.62889,-0.87401,-0.29656,0.32312,-0.067741,0.17926,0.23632,0.40602,-0.94342,0.44408,0.22833,-1.0153,0.20098,-0.41161,1.2318,0.79524,-0.53474,0.51765,0.48627,1.1561,-0.11882,-0.36563,0.0074337,0.40005,0.54894,1.3651,0.31644,-0.51194,0.17232,0.15782,0.39724,-0.26781,-0.34483,-1.6349,1.0536,-1.037,-0.47201,-1.0644,0.77342,-0.443,0.93031,0.98711,-0.47099,-1.1828,-0.10616,0.16928,-0.20341,0.14885,0.7777,0.27359,-0.41171,0.40951,-0.23673,0.74737,0.42303,-0.83142,-0.29424,-1.0435,-0.35469,-0.080791,0.40821
-0.73972,0.40387,-0.38559,-0.39712,0.16153,-0.35683,1.4306,0.52276,0.7644,0.2876,-0.19332,0.85745,-1.0535,-0.39034,0.48309,0.0084827,0.16214,0.18038,0.50471,-1.1575,0.57314,0.22853,-1.1128,0.32253,-0.50783,1.5038,1.1084,-0.5582,0.73493,0.76145,1.2389,-0.14621,-0.26868,0.041146,0.3774,0.55604,1.9411,0.58254,-0.43995,0.29331,0.29349,0.64598,-0.35855,-0.43783,-1.9549,1.2468,-1.2572,-0.48448,-1.4166,1.0303,-0.51586,1.2526,1.2473,-0.54944,-1.3125,-0.2203,0.28693,-0.25955,0.17287,0.96799,0.41531,-0.58116,0.48294,-0.42996,0.86301,0.61364,-1.1213,-0.2548,-1.2822,-0.30957,-0.18355,0.4969
-0.64065,0.46521,-0.50743,-0.62845,0.20722,-0.3182,1.8282,0.63682,0.88506,0.40313,-0.32218,0.99577,-1.0531,-0.56849,0.58199,0.14013,0.0725,0.089072,0.55382,-1.3778,0.63084,0.14372,-1.1647,0.45114,-0.64381,1.6418,1.3681,-0.64301,0.97986,1.1461,1.2614,-0.24082,-0.15803,0.16383,0.23394,0.5032,2.6109,0.86541,-0.36071,0.41095,0.37947,0.89852,-0.32824,-0.56744,-2.2674,1.4683,-1.4771,-0.44398,-1.6234,1.395,-0.62895,1.543,1.4386,-0.68404,-1.4268,-0.33133,0.45682,-0.38191,0.1926,1.062,0.67091,-0.63285,0.50979,-0.56393,1.1225,0.7677,-1.249,-0.2385,-1.5041,-0.13575,-0.22001,0.6235
-0.42549,0.56827,-0.73355,-0.83858,0.30081,-0.39966,2.2617,0.73926,0.93759,0.45131,-0.45484,1.1904,-1.1559,-0.69184,0.65438,0.1486,0.01224,-0.04958,0.63718,-1.5573,0.70022,0.14155,-1.277,0.61864,-0.74915,1.8048,1.5881,-0.59902,1.2825,1.5211,1.3741,-0.30363,0.033002,0.25268,0.050125,0.40397,3.2695,1.2055,-0.32908,0.55052,0.45477,1.1053,-0.29481,-0.64031,-2.5926,1.7019,-1.5965,-0.499,-1.8494,1.8107,-0.75546,1.759,1.7039,-0.88057,-1.6401,-0.47023,0.60317,-0.42736,0.1859,0.97108,0.9219,-0.53272,0.59729,-0.73317,1.4569,0.89808,-1.3507,-0.32625,-1.8094,0.10789,-0.31515,0.63956
