P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
-0.00070249,-0.019832,0.16118,-0.068912,0.011137,0.033147,-0.00096558,-0.036974,0.10136,0.029555,-0.062001,-0.11898,0.061612,-0.09791,-0.054508,0.040511,-0.11303,-0.076195,-0.073432,-0.059914,-0.025063,-0.087973,0.098626,-0.034203,0.014989,0.0028223,0.024733,-0.082184,-0.066769,0.021609,0.059539,0.086114,-0.052766,-0.099142,-0.042548,0.034442,-0.096569,-0.047201,-0.12577,0.0030103,0.091246,-0.10896,0.098475,-0.00096558,0.045241,0.048601,0.012414,-0.072126,0.077296,0.036935,0.022716,-0.047619,0.0095613,0.14915,-0.10466,0.11817,0.15299,-0.083051,0.065418,-0.074714,0.073614,0.017489,-0.052063,0.031006,-0.0038031,0.10474,0.061491,0.084748,0.11952,0.1225,-0.025903,0.02939
-0.044047,0.015909,0.0047569,0.021238,-0.050177,0.16234,0.2153,-0.0003587,0.032957,-0.020468,0.094829,-0.11728,-0.20723,-0.030583,-0.057367,-0.15965,-0.079848,-0.20407,0.031761,0.19884,0.055698,0.033399,-0.059198,-0.10294,-0.064352,-0.039582,0.037284,-0.03083,-0.063391,0.079841,0.1649,-0.12858,-0.003592,0.00444,-0.087262,0.042276,0.037421,-0.041944,0.041538,0.089609,0.10316,0.034511,-0.048647,0.2153,-0.099818,0.099126,0.083719,0.08456,-0.21698,-0.12528,-0.0086447,-0.00056769,-0.11189,0.042493,0.084469,0.13522,0.14116,0.0030703,-0.027408,0.009833,-0.15419,0.00061792,-0.11733,-0.26431,-0.040417,0.038666,0.14573,0.040307,-0.015146,0.14364,0.1554,0.079259
-0.034239,-0.044305,0.19501,-0.035143,-0.012409,0.28802,0.36581,0.20708,0.017714,-0.21949,0.015552,0.093778,-0.45685,0.17272,-0.11877,-0.28237,0.031317,-0.15455,0.02836,0.15819,0.15166,0.14931,0.1076,0.04853,0.0054434,-0.20315,0.22982,0.10212,-0.3071,0.1835,0.19273,-0.074631,-0.11185,3.49E-05,-0.19444,0.089601,-0.075335,-0.1262,0.058759,0.084523,0.052767,-0.17766,-0.15689,0.36581,-0.2818,0.3387,-0.044568,-0.11616,-0.080718,-0.11953,-0.26155,-0.054393,0.11203,-0.022448,-0.1339,0.056015,-0.056404,-0.063794,-0.047537,-0.29831,0.034386,-0.047637,-0.1417,0.010622,-0.077503,0.078528,0.24107,0.12398,0.070513,0.019401,0.31997,0.21504
-0.028404,-0.21971,0.42144,-0.0991,-0.079535,0.32653,0.60159,0.12186,0.13467,-0.50665,0.19127,0.093623,-0.55985,0.36848,-0.13234,-0.2739,0.048494,-0.1445,-0.256,0.27276,0.40896,0.45633,0.021781,-0.17038,-0.0081592,-0.28021,0.2496,0.14208,-0.66772,0.31359,0.25686,-0.26752,-0.10808,-0.024674,-0.25803,0.11731,-0.30972,-0.17234,-0.047527,0.040192,0.132,-0.29135,-0.24421,0.60159,-0.24333,0.2982,0.11315,-0.24388,-0.25162,0.016669,-0.42161,0.069798,0.15677,-0.055644,-0.11265,0.22091,-0.2083,0.18403,-0.1607,-0.38933,-0.083268,0.014921,-0.24723,-0.13916,-0.17323,0.40065,0.28322,0.19793,0.22354,0.057243,0.35203,0.16003
-0.24236,-0.33191,0.59011,0.032946,-0.27744,0.47138,0.63152,0.17337,0.21585,-0.68732,0.22575,0.28128,-0.74123,0.6362,-0.068964,-0.72681,0.26486,-0.49567,-0.18477,0.39014,0.52034,0.72285,0.075578,-0.11381,0.026357,-0.45426,0.28454,0.23652,-0.83407,0.4508,0.19153,-0.41125,-0.15274,0.15596,-0.26112,0.35698,-0.36635,-0.27771,0.011612,0.25064,-0.062179,-0.34781,-0.38109,0.63152,-0.50151,0.41831,0.17317,-0.24366,-0.27572,0.014897,-0.65036,0.062276,0.21077,-0.11384,-0.19974,0.27168,-0.28398,0.18947,-0.33562,-0.48558,-0.056622,0.049258,-0.4163,-0.14752,-0.017742,0.44828,0.11955,0.16801,0.27804,-0.11513,0.32485,0.13797
-0.22434,-0.47015,0.73711,-0.00066248,-0.42276,0.25837,0.99986,-0.087123,0.54329,-0.88541,0.44896,0.49768,-0.92648,0.82444,-0.20413,-0.99645,0.064649,-0.86313,-0.028316,0.49289,0.64274,0.94561,-0.10808,-0.28224,0.18084,-0.58103,0.44756,0.13635,-1.1929,0.54395,0.31348,-0.58721,-0.073252,0.19174,-0.34696,0.44757,-0.24217,-0.16791,0.0089719,0.21109,0.032039,-0.36245,-0.47646,0.99986,-0.43537,0.75918,0.064186,-0.59285,-0.26309,0.13821,-0.64013,0.16886,0.13149,-0.26639,-0.2904,0.19671,-0.23861,0.23115,-0.53517,-0.18367,0.027227,0.12247,-0.76456,-0.16567,-0.17585,0.94683,-0.15186,0.099666,0.087186,-0.036761,0.52364,-0.10529
-0.35463,-0.6303,1.1294,0.10027,-0.6466,0.28822,1.2621,-0.35948,0.65661,-1.2097,0.84429,0.57426,-1.1288,1.1739,-0.3645,-1.4028,0.25591,-1.0069,-0.12954,0.25173,0.97623,1.0808,-0.051916,-0.14705,0.24548,-0.82458,0.32341,0.22916,-1.4743,0.59086,0.36143,-0.85712,-0.017508,0.34393,-0.46202,0.57059,-0.28874,0.17763,0.11576,0.37215,-0.071007,-0.52275,-0.7305,1.2621,-0.33665,0.95605,0.31896,-0.77959,-0.29837,-0.042585,-0.73421,0.11338,0.049997,-0.13024,-0.41814,0.1926,-0.44823,0.18899,-0.85151,-0.41976,0.32173,0.20661,-0.76953,-0.2666,-0.098469,1.2759,-0.25518,0.28735,0.011358,0.14409,0.7229,-0.31196
-0.41525,-0.79631,1.6064,0.1725,-0.79197,-0.056556,1.635,-0.51951,0.84455,-1.3765,1.0093,0.52532,-1.2185,1.4387,-0.42657,-1.8115,0.12909,-0.87827,-0.17984,0.23407,1.3139,1.2505,-0.048363,-0.28733,0.4611,-1.1496,0.43654,0.38276,-1.6309,0.89014,0.4499,-0.72207,0.018916,0.62368,-0.0027324,0.71921,-0.2039,0.25649,0.20173,0.37738,-0.28083,-0.41691,-0.76104,1.635,-0.41098,1.0815,0.46097,-1.0781,-0.29806,-0.28424,-0.99175,-0.029132,0.17108,-0.47512,-0.35658,0.19504,-0.57676,0.49928,-1.1446,-0.12128,0.34928,0.012864,-1.0287,-0.32872,-0.17721,1.5061,-0.26852,0.37204,0.025188,0.016149,0.76775,-0.26698
-0.54109,-0.96613,1.9882,0.11264,-1.0112,-0.13329,1.8769,-0.70709,1.0455,-1.6246,1.0843,0.49917,-1.5972,1.6632,-0.50024,-1.8032,0.079081,-0.86103,-0.49083,-0.014363,1.667,1.501,0.13738,-0.3031,0.41288,-1.2694,0.51879,0.74498,-1.8691,0.92005,0.44756,-0.85514,0.15468,0.60041,-0.040122,0.89202,-0.11999,0.39652,0.13201,0.38771,-0.45683,-0.31626,-1.0257,1.8769,-0.40867,1.4982,0.47193,-1.3443,-0.41045,-0.27804,-0.77876,-0.22305,0.22814,-0.74101,-0.40028,0.19791,-0.48651,0.76788,-1.4923,-0.050997,0.57141,-0.059831,-1.2463,-0.38298,-0.057246,1.7345,-0.39011,0.74594,0.2422,0.3642,0.45779,-0.38809
-0.66094,-1.2498,2.1152,-0.079524,-1.2654,-0.24779,2.1452,-1.1805,1.2022,-1.7327,1.1156,0.33597,-1.8602,1.8864,-0.75854,-2.2115,0.24848,-0.76296,-0.36019,-0.23911,2.0063,1.8877,-0.043769,-0.33063,0.46485,-1.3098,0.53928,0.60786,-2.2743,1.2521,0.66331,-0.84281,0.40553,0.89949,0.20574,1.1647,-0.031384,0.51814,0.021008,0.51803,-0.65813,-0.34675,-1.2456,2.1452,-0.27478,1.72,0.46543,-1.5705,-0.38084,-0.53282,-0.60708,-0.1926,0.27802,-1.0644,-0.32616,0.17106,-0.77955,0.83348,-1.9734,0.026518,0.75969,-0.34528,-1.6689,-0.43507,0.013772,1.9821,-0.68036,0.81601,0.29448,0.44485,0.075089,-0.45797
