P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.029876,-0.63523,0.74555,0.061388,-0.24207,-0.065024,-0.62302,-0.1419,0.42525,0.1988,-0.51944,-0.53136,0.021579,-0.59147,-0.047696,-0.20654,0.43452,0.10316,0.57277,0.44948,0.20979,0.073328,-0.33982,0.10203,0.035784,-0.22444,-0.18666,0.19141,0.42624,-0.37124,-0.11711,0.34877,0.057081,0.75656,-0.033085,0.016866,0.066727,0.11697,0.40302,0.063176,0.69442,0.19088,0.061706,-0.088206,0.16438,0.058481,0.51589,-0.064724,0.068938,0.096625,-0.24556,-0.12939,-0.11119,-0.43868,0.11433,-0.070103,0.17857,-0.0070092,-0.21892,0.13239,0.36947,0.063023,-0.56012,0.0093237,-0.073851,0.13655,0.047696,-0.2054,0.098205,0.042528,0.11697,-0.25023
-0.0287,0.023749,0.10349,0.6914,-0.18685,0.055886,0.53196,0.39479,-0.50121,-0.39999,0.062419,-0.31571,-0.14995,-0.060113,-0.038259,0.16675,-0.046695,-0.103,-0.11479,0.13346,-0.60046,-0.24271,0.4941,0.0023697,0.066727,-0.31132,-0.50011,-0.080017,0.38615,0.22946,-0.018689,-0.18622,-0.22609,0.0023923,-0.18235,-0.11173,0.066727,0.11669,-0.53837,-0.36632,0.40237,-0.13553,0.45395,-0.23798,0.51277,-0.29417,0.2878,0.38601,0.26106,-0.21043,0.42066,0.0048192,0.13691,0.012165,-0.17922,0.31531,0.6544,-0.0047058,0.10724,-0.22432,-0.26075,-0.48323,-0.26666,0.36346,0.306,-0.2029,0.13691,0.29554,0.22069,-0.2999,0.32544,0.18679
0.03553,0.32467,0.23452,0.5016,-0.69999,0.189,0.2878,-0.042933,0.44462,-0.066411,0.38615,-0.22021,-0.29302,-0.41556,0.23298,0.64906,-0.12055,0.1004,0.10775,-0.43177,0.068944,-0.20378,-0.014457,-0.94973,-0.26155,0.4543,-0.86191,0.2712,0.51736,-0.092592,0.089175,0.2086,-0.15745,-0.11352,-0.15338,0.28212,0.066727,0.11669,-0.044197,0.046196,-0.21386,0.24031,0.45395,0.011764,0.033163,-0.18277,0.021631,0.13119,0.26106,-0.42643,0.22518,0.38983,0.1636,0.21918,0.0070256,-0.51429,0.65396,-0.0047058,-0.07983,-0.1855,0.0068181,-0.39947,0.029403,0.23164,-0.38752,-0.65152,0.13691,0.29674,-0.21521,-0.44329,0.67217,-0.47764
0.13377,-0.188,-0.0070921,0.4858,-0.47452,-0.19951,0.64721,-0.15154,-0.083537,-0.46059,-0.29482,-0.36854,-0.65735,-0.22452,0.31649,0.50459,0.1628,-0.096852,0.13255,-1.1562,0.20427,-0.23527,-0.014422,-0.35487,-0.093404,0.23498,-0.34076,0.36014,0.64159,0.14358,0.20155,-0.026693,-0.060313,-0.15856,-0.53412,0.097489,-0.026564,0.037718,0.18521,-0.36941,0.027771,0.17578,0.17508,0.35877,-0.75337,-0.34034,-0.42441,-0.17772,0.060313,-0.55288,0.62433,0.58735,0.1636,-0.49455,0.098274,-0.53064,0.39264,0.17604,-0.35877,-0.090017,-0.21257,-0.52183,0.65134,-0.20874,-0.7399,-0.28941,0.13691,0.27863,-0.039885,-0.41601,0.87454,-0.47764
-0.15037,0.13715,-0.1733,0.61285,-0.79891,-0.16321,0.40024,-0.22411,-0.32632,-0.3901,-0.29381,0.050317,-0.43868,-0.36019,0.32916,0.53549,0.30743,-0.53763,-0.094952,-0.60168,-0.20821,-1.0783,-0.33088,-0.49823,-0.3704,0.45714,-0.65162,0.63301,0.66396,0.030364,0.064813,0.37175,0.012077,-0.20798,-0.76384,0.29423,0.10674,0.037718,0.16707,-0.56299,-0.76295,0.38314,0.42055,0.40927,-0.082554,-0.46787,0.45172,-0.62296,0.62707,-0.81499,1.2887,0.77037,0.030014,-0.32244,-0.12697,-0.7786,0.56301,0.23206,-0.76862,-0.21564,-0.35333,-0.64547,-0.20353,0.52925,-0.91918,-0.45197,0.57352,0.20589,0.037629,-0.023749,0.78204,-0.69264
-0.37299,0.081745,-0.39818,0.93805,-1.5953,0.052715,0.73653,-0.30754,0.12642,-0.73587,-0.29381,0.17301,-1.0552,-0.70691,0.25891,0.64684,0.38266,-0.54163,0.35084,-0.89905,-0.2803,-0.556,-0.64735,-0.37212,0.25588,0.69021,-1.3096,0.96691,0.99789,-0.082554,-0.098006,0.44896,-0.1011,-0.4058,-0.90643,0.52265,0.10438,0.037718,0.35253,-0.8309,-1.6159,0.29281,0.68371,0.62326,-0.41241,-0.73091,-0.18116,-0.52691,0.53511,-1.3529,1.4993,0.96691,-0.21257,-0.63809,0.45838,-0.79553,0.82205,0.98146,-0.96888,-0.22284,-0.023976,-0.50941,0.18612,-0.54449,-1.0332,-0.21608,0.40232,0.27402,-0.33454,-0.2606,0.96672,-0.77198
-0.59528,-0.21687,-0.1616,1.1467,-2.3528,0.41013,0.97481,-0.38575,-0.10987,-0.50453,-0.5712,-0.10538,-0.64972,-0.70691,0.0024213,0.55909,0.24328,-0.23069,0.20394,-0.75262,-0.1298,-0.72684,-1.1233,-0.52204,-0.17397,0.46259,-0.93934,1.1155,1.1788,-0.058894,-0.14924,-0.079161,-0.067046,-0.53549,-1.3857,0.42872,-0.078597,-0.87052,0.35253,-1.4017,-2.2697,0.72236,0.88123,1.6907,-0.96616,-0.62622,0.1561,-0.80258,0.079542,-1.9686,1.0974,1.1071,-0.057673,-0.94999,0.53077,-0.79553,1.1197,0.98746,-0.96888,-0.15485,0.21043,-0.60524,0.066242,-0.62845,-0.7314,-0.27929,0.20065,0.351,-0.22698,-0.0095235,1.704,-0.88813
-0.49121,0.37579,0.088222,1.2098,-3.313,0.45841,0.76873,-0.54042,0.26925,-0.63973,-0.72194,0.031016,-1.5521,-0.96938,0.22572,0.71178,0.41537,-0.29306,0.29623,-0.50213,-0.0074256,-0.72999,-1.1339,-0.57453,0.16515,0.62721,-1.6769,1.4723,1.6828,0.077856,-0.21386,-0.15809,-0.0097084,-0.66995,-1.3131,0.67927,-0.26327,-0.62984,0.71771,-1.2642,-3.0972,0.40426,1.1691,1.6145,-0.60253,-0.78373,0.2075,-1.0275,0.34836,-2.2776,1.4711,1.3264,-0.22126,-0.23756,0.42426,-0.79553,1.0511,1.6904,-1.2566,0.18622,0.053437,-0.66273,-0.0096849,-0.74988,-1.1706,-0.12612,0.20065,0.45094,0.01392,0.31949,1.843,-1.0481
-0.68639,0.70811,0.28484,1.176,-3.7577,1.0958,0.99661,-0.913,0.15066,-0.9768,-1.0908,-0.041339,-1.1261,-0.69744,0.1364,0.61916,0.64536,-0.799,0.22518,-1.2387,0.16635,-0.72999,-1.8698,-0.53362,-0.52546,1.0665,-1.5343,1.9686,1.9619,-0.0046296,-0.27992,0.67367,0.12555,-0.4529,-1.3621,1.0424,-0.21735,-0.62106,0.25559,-1.5589,-3.1294,0.27338,1.4998,2.3931,-0.95385,-0.95602,1.105,-1.2453,0.3359,-2.2776,2.0985,1.5444,-0.13001,-0.3754,0.60362,-0.79553,0.5566,1.6904,-1.0402,0.18622,0.22915,-0.71096,0.11343,-0.37269,-1.2688,0.018516,0.11711,0.89943,-0.20589,0.31949,2.1935,-1.197
