P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.48281,-0.66268,-1.0903,0.099669,0.14656,-0.33553,0.94917,0.30553,0.16044,-0.023581,-0.50802,0.050438,0.4488,0.22961,-0.036392,-0.053437,0.77719,0.28484,-0.035363,0.55885,0.70557,-0.068542,0.0047961,0.069766,0.27764,0.18521,-0.36963,0.15856,0.54529,-0.25418,-0.16435,0.41822,0.019228,0.20331,-0.4278,0.637,0.014387,0.32998,-0.060313,-0.45847,-0.10464,0.78708,0.21385,0.077891,-0.49188,0.9151,0.12377,0.56815,0.33812,-0.089594,-0.43092,0.35653,-0.14393,-0.29168,0.78199,-0.0070921,-1.5853,0.02631,0.30418,0.61943,-0.044993,0.076406,-0.66167,-0.26791,1.0076,1.1631,-0.22985,-0.72016,0.6807,0.17319,0.057491,0.24959
-0.57738,0.028294,0.51944,0.099669,0.26941,0.34754,-0.49475,0.76167,0.16044,-3.0877,-1.0563,-0.32099,-0.21486,-0.6149,-0.004914,-0.38007,-1.585,0.62379,0.56111,-1.2316,1.3379,0.12232,0.0047961,-0.20491,-0.58667,-0.57395,0.34112,-0.05432,-0.96677,-1.4726,0.58206,0.60822,-0.64926,-0.84225,1.1296,0.42878,1.1812,0.63352,-0.2158,0.34856,0.095765,-0.16436,0.63567,0.079926,0.42777,-0.97012,0.56709,0.16396,0.71528,-0.79567,-0.33903,0.52773,0.62655,-0.074027,-0.61386,-0.58999,0.29215,-0.56289,0.81872,-1.038,0.14601,-1.0525,0.79222,0.099188,-1.3692,-0.99946,-0.11506,0.14423,-0.075685,0.17319,-0.24726,-0.95335
-0.42562,0.030651,0.13021,-0.57407,0.16786,-1.1302,-0.044887,-0.026693,0.43649,-0.39604,0.20353,0.21631,-0.23482,-0.15081,0.014741,0.046914,-1.5122,0.4869,0.46151,-0.30962,1.2935,-0.42447,0.0047961,0.67026,-0.31795,0.38971,0.65772,0.4295,0.023862,-0.026247,0.072337,-0.24267,-0.16515,0.33942,1.9161,-0.26335,1.1822,0.19927,-1.1526,0.72038,-0.60907,-0.93957,-0.10822,0.25732,1.2294,0.56545,0.54609,0.0023809,0.71528,0.72547,-0.65686,0.188,0.80027,0.076044,-0.80042,-0.75197,0.49728,-0.31716,-0.31798,-1.005,0.74457,-1.0609,-0.4658,0.30683,1.206,0.73282,-0.07983,0.049722,-1.0397,-0.10208,-0.080017,1.1019
0.093926,1.019,-0.25376,-0.69108,0.42605,-0.75118,0.54888,0.75024,0.60772,-0.11999,0.92681,0.549,0.32099,-0.31356,0.016948,0.28255,1.5803,-0.61918,0.0023753,-0.22575,-0.33017,-0.42231,-0.069433,0.85803,-0.12525,0.71995,0.95166,-0.22961,0.60408,-0.50893,0.43847,0.4027,0,-0.20238,0.20113,0.064969,1.7457,0.17772,-1.2112,0.27797,-0.34528,0.62505,0.17006,-0.60204,0.48955,0.83443,0.52906,-0.54679,0.39608,0.30846,-0.15931,0.62774,0.47537,0.88035,-0.18564,-1.0238,0.49728,0.62809,0.53594,-0.26458,0.86621,0.16904,0.39479,-0.2606,-0.88523,-0.066411,0.17845,-0.22715,-0.17688,-0.306,0.55353,0.90602
0.10258,0.75,-0.92446,-0.76685,0.57773,0.164,0.2783,0.29444,1.1343,0.070971,-0.29674,1.0798,-1.4123,0.076589,-0.44946,0.28941,-0.90429,-0.72523,-0.31492,-0.83904,0.74927,0.17818,-0.55633,0.05184,-0.35905,1.3131,0.59974,-0.49151,0.3845,-0.1429,0.93025,0.54002,-0.63262,0.072136,-0.39533,0.91583,0.58999,0.17772,-0.42015,-0.21325,0.18096,0.23055,-0.2268,-0.13145,-0.3172,0.83443,-0.4551,-0.22786,0.56215,0.080968,-0.23637,1.1872,0.79364,-0.33376,-1.3758,-0.23249,0.49728,-0.031016,0.96495,-0.26122,0.25807,0.32769,0.12848,-0.086323,1.5612,1.0066,-0.15411,-0.031016,-0.38183,-0.58603,-0.26127,-0.70422
-0.98082,0.086435,-0.099439,0.33646,-1.0011,-0.2467,-0.0071598,0.29375,0.65236,1.2805,0.57453,0.56784,-1.4476,-0.23274,0.3611,0.23472,0.77523,0.92635,0.42468,-0.56744,-0.68311,0.45033,-0.755,-0.37223,-0.66731,1.5052,0.25528,-0.67587,0.36613,0.13349,1.03,0.054968,-0.61211,0.053068,0.71714,1.4173,0.85174,-0.024092,0.90222,-1.4419,0.31197,0.84182,-0.5279,0.033163,-1.933,1.0528,-0.7314,-1.2743,-0.63755,0.19785,-0.674,0.66503,-0.3968,0.10807,-2.2697,-0.7147,-0.75294,-0.52959,0.25999,1.5952,0.049256,-0.99874,0.22572,-0.086117,0.87788,0.069599,-0.88391,-0.32175,-0.54844,-0.54732,0.090876,-0.51679
-0.20944,-0.099905,0.38094,-0.040263,0.57756,-0.50263,1.6731,0.49218,0.90522,0.023636,0.50778,0.52964,-1.1157,0.24223,0.1419,0.18811,0.011876,0.73282,0.9027,-0.66023,0.43677,1.2733,-2.0929,-0.13381,-0.66759,1.5074,0.021631,-0.044571,0.31575,1.4918,1.2915,1.1223,0.11533,-0.48714,0.13303,1.1912,1.9296,-0.028769,-0.28549,-0.045862,0.93949,1.4868,-0.49151,-0.59395,-2.6844,1.3669,-1.3292,-1.001,-2.5668,0.87185,-0.56764,0.67807,-0.4764,-0.26559,-1.2316,-0.56692,-0.85038,-0.39086,-0.42426,-0.0023981,0.34482,0.59135,-0.060024,-1.0877,-0.23164,0.069934,-0.90429,-0.23109,-1.0619,-0.32325,-0.38852,-0.31043
-0.2054,0.78708,-0.91583,-1.1684,-0.86034,-0.37356,0.78708,0.77057,0.68336,-0.090445,-0.531,0.34222,-0.65686,-0.75674,0.35438,-0.24735,-0.56525,0.55011,-0.19881,-1.2567,-0.45278,1.4782,-1.6044,0.65598,-0.37425,0.62537,1.1662,-0.66063,0.0023585,1.1995,1.1277,-0.27931,-0.67807,0.21229,0.91525,1.6887,2.375,1.2029,-1.3804,0.41227,1.3367,1.1342,-0.62379,-0.27467,-2.2291,1.8925,-1.0596,-0.60157,-1.688,0.4542,-0.17662,1.237,1.298,-0.83763,-1.7594,-0.69844,0.39137,-0.23055,1.0818,1.408,0.11696,-0.49081,-0.38721,-0.62647,0.73494,0.073851,-1.2981,0.045423,-1.5732,-0.44035,0.32099,-0.31949
-0.8879,0.65857,-0.28233,-1.1725,-0.028908,-0.031774,2.4201,0.30203,0.548,0.46471,0.39175,1.0962,-1.4835,-0.030943,0.34897,0.22411,0,0.45824,-0.079734,-1.8583,0.54365,0.1094,-0.56267,1.049,-0.44249,1.6514,1.7437,-1.0048,0.17902,1.1668,1.2173,0.075506,-0.26458,0.54888,0.0451,1.0772,3.7025,0.81539,-0.71434,-0.48899,0.37902,0.71995,0.048506,-0.74515,-2.8467,1.7266,-1.8048,-0.43734,-1.9713,1.2475,-1.3592,2.2743,2.2605,-1.0377,-1.118,-0.60388,0.39137,-0.50525,-0.43123,1.9315,0.51171,0.19044,1.3929,-0.92017,1.9069,-0.36324,-1.2997,-0.45307,-2.275,0.10014,0.068938,0.8234
